ons_code,name,cls,loss_ph,change_pct,imd_avg_score,clean,league_excluded,handcheck
E07000170,Ashfield,SD,10.75,-11.24,26.307633621143093,True,False,
E07000171,Bassetlaw,SD,85.27,-63.63,22.588079074388304,True,False,
E07000172,Broxtowe,SD,33.7,-42.84,14.23820325116017,True,False,
E07000173,Gedling,SD,18.05,-21.19,14.89400433090527,True,False,
E07000174,Mansfield,SD,47.9,-38.65,28.503084959730288,True,False,
E07000175,Newark & Sherwood ,SD,13.29,-12.4,19.226734654910516,True,False,
E07000176,Rushcliffe,SD,4.57,-8.39,7.1802094413958075,True,False,
E07000177,Cherwell,SD,-21.76,25.41,14.410383403491823,False,False,gainer_rates_growth
E07000178,Oxford,SD,39.85,-32.9,16.706607952635796,True,False,
E07000179,South Oxfordshire,SD,29.73,-53.71,8.458925659785733,True,False,
E07000180,Vale of White Horse DC,SD,42.5,-76.17,8.357478219292839,False,False,cliff_after_2018_one_year_check
E07000181,West Oxfordshire,SD,5.07,-9.92,8.684223913303686,True,False,
E07000192,Cannock Chase,SD,17.86,-17.26,20.42641686465631,True,False,
E07000193,East Staffordshire,SD,35.32,-34.57,19.028227889386212,True,False,
E07000194,Lichfield,SD,7.75,-12.8,12.566322036390728,True,False,
E07000195,Newcastle-under-Lyme,SD,34.54,-33.81,18.92915128918597,True,False,
E07000196,South Staffordshire,SD,-56.87,83.41,13.123768637650684,False,False,gainer_rates_growth
E07000197,Stafford BC,SD,7.64,-10.88,13.677620328678202,True,False,
E07000198,Staffordshire Moorlands,SD,25.04,-28.52,15.040029868883261,True,False,
E07000199,Tamworth,SD,72.75,-86.14,21.061077060745966,False,False,cliff_after_2018_one_year_check
E07000200,Babergh,SD,-4.0,6.2,14.26682001112347,True,False,
E07000202,Ipswich,SD,10.27,-10.78,25.890312250352228,True,False,
E07000203,Mid Suffolk,SD,-6.25,8.43,13.225204616412803,True,False,
E07000207,Elmbridge,SD,17.17,-34.61,7.943852494128421,True,False,
E07000208,Epsom & Ewell,SD,36.98,-59.46,8.833034578569698,True,False,
E07000209,Guildford,SD,61.93,-98.72,9.39513981739827,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000210,Mole Valley,SD,9.68,-20.91,9.511189300742716,True,False,
E07000211,Reigate and Banstead,SD,42.55,-85.23,11.276083673797203,False,False,cliff_after_2018_one_year_check
E07000212,Runnymede,SD,52.47,-63.37,12.012295521931476,True,False,
E07000213,Spelthorne,SD,70.95,-86.15,14.942642317252057,False,False,cliff_after_2018_one_year_check
E07000214,Surrey Heath,SD,60.72,-90.31,8.065892043191825,False,False,cliff_after_2018_one_year_check
E07000215,Tandridge,SD,34.08,-75.19,11.896133726750005,True,False,
E07000216,Waverley,SD,27.52,-55.82,7.494057761005072,True,False,
E07000217,Woking BC,SD,28.08,-35.66,10.803590952305498,True,False,
E07000218,North Warwickshire,SD,-81.29,87.14,17.90682813670039,False,False,gainer_rates_growth
E07000219,Nuneaton & Bedworth,SD,95.1,-98.76,23.540249377976824,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000220,Rugby,SD,86.06,-98.94,14.119128983772917,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000221,Stratford-on-Avon,SD,1.34,-2.19,11.728325756709518,True,False,
E07000222,Warwick,SD,55.41,-65.68,12.004755826427537,False,False,cliff_after_2018_one_year_check
E07000223,Adur,SD,34.32,-42.01,17.59389002927935,True,False,
E07000224,Arun,SD,20.5,-26.31,18.63834735073113,True,False,
E07000225,Chichester,SD,11.64,-20.71,14.084918070366093,True,False,
E07000226,Crawley,SD,19.11,-21.3,18.94030057626232,True,False,
E07000227,Horsham,SD,17.91,-38.73,9.889918698351655,True,False,
E07000228,Mid Sussex,SD,38.44,-87.71,7.747182970356719,False,False,cliff_after_2018_one_year_check
E07000229,Worthing,SD,50.61,-66.54,17.011700229910527,True,False,
E07000234,Bromsgrove,SD,53.53,-90.98,11.696548984606338,False,False,cliff_after_2018_one_year_check
E07000235,Malvern Hills,SD,28.06,-38.62,16.06590884732584,True,False,
E07000236,Redditch BC,SD,31.92,-36.39,22.52386476226406,True,False,
E07000237,Worcester,SD,45.73,-56.87,20.41448803287617,True,False,
E07000238,Wychavon,SD,-10.7,16.37,15.765628988187125,True,False,
E07000239,Wyre Forest,SD,41.05,-47.83,22.436670087049066,True,False,
E07000240,St Albans,SD,54.23,-82.6,8.339150169644567,False,False,cliff_after_2018_one_year_check
E07000241,Welwyn Hatfield,SD,49.93,-61.74,14.215473909868912,True,False,
E07000242,East Hertfordshire,SD,64.27,-98.84,8.188423696085488,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000243,Stevenage,SD,28.95,-32.22,19.694863188533017,True,False,
E08000001,Bolton,MD,213.87,-29.43,30.69,False,False,rsg_zero_2024_check_rollin
E08000002,Bury MBC,MD,273.11,-45.47,23.68,False,False,rsg_zero_2024_check_rollin
E08000003,Manchester,MD,271.81,-26.86,40.0,False,False,rsg_zero_2024_check_rollin
E08000004,Oldham,MD,321.26,-37.62,33.15,False,False,rsg_zero_2024_check_rollin
E08000005,Rochdale,MD,265.09,-30.47,34.42,False,False,rsg_zero_2024_check_rollin
E08000006,Salford,MD,300.26,-32.79,34.21,False,False,rsg_zero_2024_check_rollin
E08000007,Stockport MBC,MD,181.54,-36.07,20.83,False,False,rsg_zero_2024_check_rollin
E08000008,Tameside,MD,247.23,-31.99,31.37,False,False,rsg_zero_2024_check_rollin
E08000009,Trafford,MD,141.33,-29.83,16.09,False,False,rsg_zero_2024_check_rollin
E08000010,Wigan MBC,MD,199.38,-30.1,25.71,False,False,rsg_zero_2024_check_rollin
E08000011,Knowsley,MD,455.65,-35.06,43.01,False,False,rsg_zero_2024_check_rollin
E08000012,Liverpool,MD,427.07,-37.76,42.41,False,False,rsg_zero_2024_check_rollin
E08000013,St Helens MBC,MD,254.07,-32.26,31.52,False,False,rsg_zero_2024_check_rollin
E08000014,Sefton,MD,241.69,-34.26,27.04,False,False,rsg_zero_2024_check_rollin
E08000015,Wirral,MD,284.29,-36.98,29.59,False,False,rsg_zero_2024_check_rollin
E08000016,Barnsley,MD,319.66,-43.91,29.93,True,False,
E08000017,Doncaster,MD,316.87,-41.73,30.29,True,False,
E08000018,Rotherham,MD,223.02,-35.06,29.55,True,False,
E08000019,Sheffield,MD,258.37,-37.03,27.06,True,False,
E08000021,Newcastle,MD,424.66,-48.01,29.79,True,False,
E08000022,North Tyneside,MD,502.92,-69.58,22.28,True,False,
E08000023,South Tyneside,MD,526.79,-52.61,31.51,True,False,
E08000024,Sunderland,MD,397.78,-42.6,30.59,True,False,
E08000025,Birmingham,MD,458.08,-46.64,38.07,False,False,rsg_zero_2024_check_rollin
E08000026,Coventry,MD,367.05,-50.46,25.61,False,False,rsg_zero_2024_check_rollin
E08000027,Dudley,MD,314.98,-48.09,24.1,False,False,rsg_zero_2024_check_rollin
E08000028,Sandwell,MD,660.09,-67.14,34.88,False,False,rsg_zero_2024_check_rollin
E08000029,Solihull,MD,161.35,-35.36,17.37,False,False,rsg_zero_2024_check_rollin
E08000030,Walsall,MD,393.14,-47.93,31.55,False,False,rsg_zero_2024_check_rollin
E08000031,Wolverhampton,MD,440.03,-46.34,32.1,False,False,rsg_zero_2024_check_rollin
E08000032,Bradford,MD,369.74,-46.76,34.67,True,False,
E08000033,Calderdale,MD,290.21,-46.59,26.35,True,False,
E08000034,Kirklees,MD,200.25,-40.46,25.15,True,False,
E08000035,Leeds,MD,305.88,-48.54,27.3,True,False,
E08000036,Wakefield,MD,287.27,-43.74,27.31,True,False,
E08000037,Gateshead,MD,384.5,-47.92,28.22,True,False,
E09000002,Barking & Dagenham,LB,343.73,-44.57,32.77,True,False,
E09000003,Barnet,LB,189.35,-46.09,16.15,True,False,
E09000004,Bexley,LB,248.97,-52.69,16.27,True,False,
E09000005,Brent,LB,390.49,-46.54,25.56,True,False,
E09000006,Bromley,LB,205.48,-55.88,14.16,True,False,
E09000007,Camden,LB,534.5,-46.36,20.13,True,False,
E09000008,Croydon,LB,305.08,-51.22,22.48,True,False,
E09000009,Ealing,LB,328.28,-49.51,22.71,True,False,
E09000010,Enfield,LB,324.61,-46.55,25.78,True,False,
E09000011,Greenwich,LB,466.27,-49.23,24.46,True,False,
E09000012,Hackney,LB,512.38,-39.24,32.53,True,False,
E09000013,Hammersmith & Fulham,LB,492.36,-46.93,22.27,True,False,
E09000014,Haringey,LB,400.86,-42.87,27.96,True,False,
E09000015,Harrow,LB,319.54,-65.29,15.03,True,False,
E09000016,Havering,LB,256.62,-60.37,16.79,True,False,
E09000017,Hillingdon,LB,239.86,-48.5,18.22,True,False,
E09000018,Hounslow,LB,324.25,-58.04,21.49,True,False,
E09000019,Islington,LB,352.72,-33.31,27.54,True,False,
E09000020,Kensington & Chelsea,LB,612.69,-61.4,21.53,True,False,
E09000021,Kingston Upon Thames,LB,229.9,-59.01,11.38,True,False,
E09000022,Lambeth,LB,459.94,-43.43,25.42,True,False,
E09000023,Lewisham,LB,688.77,-69.18,26.66,True,False,
E09000024,Merton,LB,210.46,-43.95,14.65,True,False,
E09000025,Newham,LB,214.59,-26.95,29.58,True,False,
E09000026,Redbridge,LB,294.01,-53.36,17.2,True,False,
E09000027,Richmond upon Thames,LB,221.31,-62.31,9.42,True,False,
E09000028,Southwark,LB,460.63,-39.75,25.81,True,False,
E09000029,Sutton,LB,288.31,-51.64,13.99,True,False,
