ons_code,name,cls,imd_avg_score,imd_rank_in_class,class_n,settlement_real_ph_2013-14,settlement_real_ph_2024-25,loss_ph,change_pct,clean,league_excluded,handcheck
E06000047,Durham UA,UA,26.79,16,53,738.72,403.61,335.11,-45.36,True,False,
E06000051,Shropshire UA,UA,17.15,40,53,506.98,173.11,333.87,-65.85,True,False,
E06000020,Telford & the Wrekin UA,UA,24.99,23,53,686.54,353.62,332.92,-48.49,True,False,
E06000023,Bristol UA,UA,26.36,18,53,697.95,377.35,320.61,-45.94,False,False,rsg_zero_2024_check_rollin
E06000026,Plymouth UA,UA,26.62,17,53,673.93,356.0,317.93,-47.17,True,False,
E06000005,Darlington UA,UA,25.66,22,53,651.32,338.23,313.09,-48.07,True,False,
E06000033,Southend-on-Sea UA,UA,22.37,28,53,610.36,300.14,310.23,-50.83,True,False,
E06000019,Herefordshire UA,UA,18.89,36,53,488.05,182.83,305.22,-62.54,True,False,
E06000038,Reading UA,UA,19.62,33,53,572.5,270.22,302.28,-52.8,True,False,
E06000057,Northumberland UA,UA,22.08,30,53,660.83,371.59,289.24,-43.77,True,False,
E06000004,Stockton-on-Tees UA,UA,25.79,21,53,621.46,335.94,285.52,-45.94,True,False,
E06000007,Warrington UA,UA,18.94,34,53,457.66,179.32,278.34,-60.82,True,False,
E06000043,Brighton & Hove UA,UA,20.76,32,53,598.07,323.58,274.49,-45.9,True,False,
E06000044,Portsmouth UA,UA,26.9,14,53,674.01,401.17,272.85,-40.48,True,False,
E06000031,Peterborough UA,UA,27.82,13,53,651.98,384.54,267.45,-41.02,True,False,
E06000054,Wiltshire UA,UA,13.45,44,53,370.16,114.06,256.1,-69.19,True,False,
E06000055,Bedford UA,UA,18.93,35,53,593.19,340.86,252.33,-42.54,True,False,
E06000042,Milton Keynes UA,UA,17.98,39,53,551.74,300.57,251.17,-45.52,True,False,
E06000015,Derby City UA,UA,26.32,19,53,618.45,377.59,240.86,-38.95,True,False,
E06000035,Medway Towns UA,UA,23.94,24,53,510.81,280.21,230.6,-45.14,True,False,
E06000014,York UA,UA,11.73,47,53,394.56,173.13,221.43,-56.12,True,False,
E06000024,North Somerset UA,UA,15.83,41,53,459.65,239.22,220.43,-47.96,True,False,
E06000030,Swindon UA,UA,18.62,37,53,457.04,241.74,215.3,-47.11,True,False,
E06000036,Bracknell Forest UA,UA,10.24,49,53,439.57,230.88,208.69,-47.48,True,False,
E06000049,Cheshire East UA,UA,14.48,43,53,352.56,146.48,206.08,-58.45,True,False,
E06000006,Halton UA,UA,32.32,8,53,859.12,653.45,205.67,-23.94,False,False,rsg_zero_2024_check_rollin
E06000052,Cornwall UA,UA,23.07,26,53,618.18,414.84,203.34,-32.89,False,False,rsg_zero_2024_check_rollin
E06000025,South Gloucestershire UA,UA,11.66,48,53,425.4,225.34,200.06,-47.03,False,False,rsg_zero_2024_check_rollin
E06000041,Wokingham UA,UA,5.85,53,53,263.3,67.78,195.52,-74.26,False,False,cliff_after_2018_one_year_check
E06000011,East Riding of Yorkshire UA,UA,15.6,42,53,496.75,308.47,188.28,-37.9,True,False,
E06000022,Bath & North East Somerset UA,UA,11.75,46,53,395.88,213.39,182.48,-46.1,False,False,rsg_zero_2024_check_rollin
E06000013,North Lincolnshire UA,UA,22.1,29,53,596.89,418.95,177.94,-29.81,True,False,
E06000017,Rutland UA,UA,8.38,51,53,356.77,190.57,166.21,-46.59,True,False,
E06000040,Windsor & Maidenhead UA,UA,8.38,51,53,259.64,114.62,145.01,-55.85,True,False,
E06000037,West Berkshire UA,UA,9.95,50,53,209.45,225.58,-16.12,7.7,False,True,incomplete_financing_return
