year,cls,service,n,p10,p25,median,p75,p90
2018-19,LB,children_social_care,32,147.87,164.01,190.69,247.70,270.72
2018-19,LB,cultural,32,23.43,26.37,32.43,38.77,45.91
2018-19,LB,development_control,32,-0.08,1.22,2.17,3.88,6.04
2018-19,LB,education,32,516.03,587.17,700.30,877.96,980.56
2018-19,LB,environmental_regulatory,32,42.27,53.59,71.67,92.52,123.55
2018-19,LB,fire_rescue,32,0.00,0.00,0.00,0.00,0.00
2018-19,LB,highways_transport,32,-20.41,2.81,22.78,38.28,52.45
2018-19,LB,housing_gfra,32,23.59,37.35,51.24,79.74,106.23
2018-19,LB,libraries,32,9.19,10.67,13.74,17.41,23.32
2018-19,LB,other,32,0.00,0.00,0.00,1.56,7.71
2018-19,LB,planning_development,32,0.86,8.15,13.81,24.89,30.63
2018-19,LB,police,32,0.00,0.00,0.00,0.00,0.00
2018-19,LB,public_health,32,43.72,49.93,68.41,91.54,118.79
2018-19,LB,recycling,32,0.00,3.13,10.49,14.37,26.05
2018-19,LB,refuse_and_recycling,32,16.41,20.11,25.33,32.87,41.77
2018-19,LB,street_cleansing,32,12.81,14.72,17.93,26.70,43.91
2018-19,LB,total_service_expenditure,32,1204.01,1324.23,1523.48,1749.53,1908.87
2018-19,LB,waste_collection,32,5.54,9.20,15.50,19.05,34.14
2018-19,LB,waste_disposal,32,0.00,0.00,1.23,24.55,36.94
2018-19,MD,adult_social_care,36,238.14,254.91,275.57,302.16,329.61
2018-19,MD,central,36,22.54,29.07,45.76,74.95,85.31
2018-19,MD,children_social_care,36,142.78,166.20,190.28,205.64,226.45
2018-19,MD,cultural,36,26.45,30.00,37.11,48.16,57.91
2018-19,MD,development_control,36,-0.43,0.10,0.64,1.81,3.06
2018-19,MD,education,36,441.10,558.41,674.20,751.25,820.43
2018-19,MD,environmental_regulatory,36,36.32,46.15,66.40,74.91,81.71
2018-19,MD,fire_rescue,36,0.00,0.00,0.00,0.00,0.00
2018-19,MD,highways_transport,36,14.61,20.43,25.58,31.84,37.40
2018-19,MD,housing_gfra,36,7.30,13.23,19.63,27.41,38.83
2018-19,MD,libraries,36,7.11,8.61,11.06,14.36,18.41
2018-19,MD,other,36,-7.02,0.00,0.00,0.27,1.87
2018-19,MD,planning_development,36,5.49,9.17,18.30,24.16,31.70
2018-19,MD,police,36,0.00,0.00,0.00,0.00,0.00
2018-19,MD,public_health,36,58.46,62.25,75.89,80.59,90.74
2018-19,MD,recycling,36,0.00,2.41,9.82,14.28,16.26
2018-19,MD,refuse_and_recycling,36,16.88,20.10,22.64,26.47,30.00
2018-19,MD,street_cleansing,36,4.80,8.12,10.65,12.89,16.74
2018-19,MD,total_service_expenditure,36,1217.22,1309.69,1420.97,1521.07,1619.77
2018-19,MD,waste_collection,36,6.24,8.52,15.31,19.12,23.51
2018-19,MD,waste_disposal,36,0.00,0.00,21.86,28.93,36.85
2018-19,SC,adult_social_care,27,248.61,256.56,281.26,313.31,331.66
2018-19,SC,central,27,5.25,7.94,14.89,19.82,27.61
2018-19,SC,children_social_care,27,107.17,130.10,142.10,153.70,165.40
2018-19,SC,cultural,27,10.49,11.58,13.52,16.29,18.31
2018-19,SC,development_control,27,-0.22,0.02,0.56,1.11,1.36
2018-19,SC,education,27,390.19,432.27,474.73,576.02,624.49
2018-19,SC,environmental_regulatory,27,34.31,38.43,46.52,59.88,65.41
2018-19,SC,fire_rescue,27,0.00,0.00,0.00,31.92,33.95
2018-19,SC,highways_transport,27,39.72,44.31,49.43,58.01,63.03
2018-19,SC,housing_gfra,27,0.00,0.05,2.66,5.38,8.08
2018-19,SC,libraries,27,7.04,8.41,9.15,11.88,12.73
2018-19,SC,other,27,0.00,0.00,0.00,0.00,4.69
2018-19,SC,planning_development,27,0.92,2.88,4.78,8.78,10.80
2018-19,SC,police,27,0.00,0.00,0.00,0.00,0.00
2018-19,SC,public_health,27,36.52,37.70,42.14,43.88,50.64
2018-19,SC,recycling,27,0.00,2.06,8.36,10.97,15.80
2018-19,SC,refuse_and_recycling,27,0.00,2.06,8.36,12.46,15.80
2018-19,SC,street_cleansing,27,0.00,0.00,0.00,0.00,0.44
2018-19,SC,total_service_expenditure,27,972.39,1031.44,1105.67,1210.81,1231.27
2018-19,SC,waste_collection,27,0.00,0.00,0.00,0.00,0.14
2018-19,SC,waste_disposal,27,25.27,27.91,34.14,44.17,56.53
2018-19,SD,adult_social_care,201,0.00,0.00,0.00,0.00,0.47
2018-19,SD,central,201,20.68,27.04,36.07,45.80,54.69
2018-19,SD,children_social_care,201,0.00,0.00,0.00,0.00,0.00
2018-19,SD,cultural,201,7.06,12.61,19.34,26.92,39.68
2018-19,SD,development_control,201,-0.66,1.50,3.96,7.55,11.08
2018-19,SD,education,201,0.00,0.00,0.00,0.00,0.00
2018-19,SD,environmental_regulatory,201,29.21,35.15,40.70,48.72,54.86
2018-19,SD,fire_rescue,201,0.00,0.00,0.00,0.00,0.00
2018-19,SD,highways_transport,201,-20.45,-11.17,-5.08,-0.55,1.97
2018-19,SD,housing_gfra,201,3.71,8.94,13.95,19.80,26.21
2018-19,SD,libraries,201,0.00,0.00,0.00,0.00,0.00
2018-19,SD,other,201,-0.20,0.00,0.00,0.00,1.82
2018-19,SD,planning_development,201,2.11,9.17,14.55,20.84,27.02
2018-19,SD,police,201,0.00,0.00,0.00,0.00,0.00
2018-19,SD,public_health,201,0.00,0.00,0.00,0.00,0.00
2018-19,SD,recycling,201,-0.57,0.00,5.39,10.27,13.21
2018-19,SD,refuse_and_recycling,201,11.64,14.90,19.44,24.33,29.13
2018-19,SD,street_cleansing,201,4.05,6.22,8.57,11.16,13.12
2018-19,SD,total_service_expenditure,201,89.62,103.29,120.01,135.82,159.92
2018-19,SD,waste_collection,201,7.93,9.47,12.48,17.93,25.63
2018-19,SD,waste_disposal,201,0.00,0.00,0.00,0.00,0.00
2018-19,UA,adult_social_care,55,244.72,269.33,293.54,327.72,349.00
2018-19,UA,central,55,12.66,25.91,37.64,49.15,62.43
2018-19,UA,children_social_care,55,120.48,143.05,177.31,217.35,240.92
2018-19,UA,cultural,55,20.74,27.36,35.70,46.23,56.00
