authority,ons_code,cls,population_mid2024,imd_avg_score,csc_net_per_head_real2425,csc_gross_per_head,csc_income_share_of_gross,asc_net_per_head_real2425,asc_gross_per_head,asc_income_share_of_gross,lib_net_per_head_real2425,lib_gross_per_head,lib_income_share_of_gross,lib_net_negative
Brighton & Hove,E06000043,UA,285063.0,20.76,253.8,271.94,0.067,525.5,698.73,0.248,22.34,24.21,0.077,False
Bristol,E06000023,UA,494225.0,26.36,310.34,319.63,0.029,511.32,681.44,0.25,14.08,15.08,0.066,False
Buckinghamshire,E06000060,UA,578432.0,10.05,239.49,251.72,0.049,392.01,505.53,0.225,8.3,9.23,0.101,False
Central Bedfordshire,E06000056,UA,316062.0,12.15,214.87,222.42,0.034,392.45,508.27,0.228,9.82,10.13,0.03,False
Cheshire East,E06000049,UA,420472.0,14.48,214.34,221.38,0.032,444.83,577.75,0.23,11.84,12.79,0.074,False
Cheshire West and Chester,E06000050,UA,370951.0,18.08,255.94,266.55,0.04,506.06,653.21,0.225,15.19,17.23,0.118,False
Cornwall,E06000052,UA,582205.0,23.07,211.72,225.22,0.06,550.37,708.06,0.223,3.75,4.11,0.086,False
Darlington,E06000005,UA,112150.0,25.66,350.91,361.92,0.03,444.5,620.87,0.284,11.78,12.11,0.027,False
Derby City,E06000015,UA,273656.0,26.32,336.3,358.79,0.063,336.47,491.31,0.315,6.9,7.07,0.025,False
Dorset,E06000059,UA,389341.0,15.73,251.28,257.42,0.024,505.18,712.98,0.291,12.39,14.85,0.166,False
Durham,E06000047,UA,536793.0,26.79,291.56,359.93,0.19,373.7,630.05,0.407,11.92,13.02,0.085,False
East Riding of Yorkshire,E06000011,UA,355378.0,15.6,216.67,233.78,0.073,493.99,822.74,0.4,10.37,11.45,0.094,False
Halton,E06000006,UA,131247.0,32.32,481.93,504.13,0.044,563.49,960.79,0.414,13.27,13.99,0.051,False
Hartlepool,E06000001,UA,97868.0,35.04,502.7,544.7,0.077,478.59,757.77,0.368,11.17,12.71,0.121,False
Herefordshire,E06000019,UA,192067.0,18.89,355.79,366.37,0.029,491.19,666.27,0.263,7.49,7.82,0.043,False
Isle of Wight,E06000046,UA,141356.0,23.29,298.36,314.74,0.052,617.15,807.89,0.236,10.12,12.15,0.168,False
Kingston-upon-Hull,E06000010,UA,274727.0,40.56,369.82,383.32,0.035,451.24,673.21,0.33,22.03,22.47,0.02,False
Leicester City,E06000016,UA,386755.0,30.88,268.07,273.66,0.02,484.14,692.39,0.301,6.44,6.98,0.077,False
Luton,E06000032,UA,238047.0,25.91,295.21,311.18,0.051,366.98,495.7,0.26,3.54,3.54,0.0,False
Medway Towns,E06000035,UA,291691.0,23.94,321.05,333.69,0.038,378.17,519.27,0.272,16.09,16.51,0.026,False
Middlesbrough,E06000002,UA,154700.0,40.46,496.16,526.97,0.058,455.94,815.61,0.441,13.18,14.52,0.092,False
Milton Keynes,E06000042,UA,305806.0,17.98,264.3,271.85,0.028,366.37,483.33,0.242,5.95,6.97,0.146,False
North East Lincolnshire,E06000012,UA,159738.0,31.34,391.77,434.03,0.097,395.32,517.41,0.236,8.72,8.72,0.0,False
North Lincolnshire,E06000013,UA,171424.0,22.1,205.68,223.92,0.081,429.4,588.44,0.27,10.47,11.54,0.093,False
North Northamptonshire,E06000061,UA,375336.0,19.66,240.91,264.63,0.09,401.3,522.61,0.232,5.33,5.72,0.069,False
North Somerset,E06000024,UA,224667.0,15.83,263.53,288.59,0.087,474.89,671.23,0.293,10.39,11.31,0.081,False
North Yorkshire,E06000065,UA,633692.0,14.76,136.14,149.69,0.091,479.52,691.79,0.307,10.26,10.78,0.048,False
Northumberland,E06000057,UA,330615.0,22.08,238.18,266.85,0.107,448.19,691.93,0.352,8.17,9.31,0.122,False
Nottingham City,E06000018,UA,330561.0,34.89,396.08,418.08,0.053,471.56,682.4,0.309,12.33,13.37,0.078,False
Peterborough,E06000031,UA,224152.0,27.82,299.06,366.99,0.185,367.73,506.72,0.274,8.15,12.03,0.323,False
Plymouth,E06000026,UA,271904.0,26.62,340.94,357.41,0.046,446.29,596.45,0.252,14.8,16.59,0.108,False
Portsmouth,E06000044,UA,212936.0,26.9,312.53,368.43,0.152,380.58,537.73,0.292,14.93,17.62,0.152,False
Reading,E06000038,UA,182809.0,19.62,345.11,356.45,0.032,397.5,537.8,0.261,9.42,12.27,0.232,False
Redcar & Cleveland,E06000003,UA,138788.0,29.79,446.44,490.18,0.089,443.04,781.88,0.433,8.27,10.1,0.181,False
Rutland,E06000017,UA,41382.0,8.38,215.5,229.13,0.059,442.41,621.07,0.288,17.66,20.47,0.137,False
Shropshire,E06000051,UA,331751.0,17.15,243.97,253.8,0.039,490.23,695.54,0.295,7.96,8.83,0.099,False
Slough,E06000039,UA,166739.0,22.97,230.75,274.01,0.158,346.34,433.83,0.202,4.84,4.85,0.002,False
Somerset,E06000066,UA,588173.0,18.55,251.17,270.39,0.071,489.71,671.57,0.271,13.16,15.78,0.166,False
South Gloucestershire,E06000025,UA,305766.0,11.66,205.42,240.82,0.147,494.69,637.86,0.224,8.29,9.83,0.157,False
Southampton,E06000045,UA,260604.0,26.88,278.75,295.1,0.055,447.4,583.26,0.233,12.33,14.03,0.121,False
Southend-on-Sea,E06000033,UA,184503.0,22.37,293.7,305.38,0.038,392.76,574.53,0.316,20.0,22.03,0.092,False
Stockton-on-Tees,E06000004,UA,206018.0,25.79,351.28,397.73,0.117,376.34,540.64,0.304,11.07,12.31,0.101,False
Stoke-on-Trent,E06000021,UA,270010.0,34.5,466.68,487.96,0.044,367.65,603.71,0.391,7.12,9.92,0.282,False
Swindon,E06000030,UA,243324.0,18.62,284.73,304.69,0.066,408.61,529.45,0.228,9.43,10.5,0.102,False
Telford & the Wrekin,E06000020,UA,196090.0,24.99,293.04,329.41,0.11,461.75,636.3,0.274,7.43,7.52,0.012,False
Thurrock,E06000034,UA,181287.0,20.93,282.83,289.74,0.024,188.34,320.33,0.412,11.91,13.39,0.11,False
Torbay,E06000027,UA,139862.0,28.1,396.72,410.83,0.034,480.87,915.95,0.475,10.48,10.48,0.0,False
Warrington,E06000007,UA,214640.0,18.94,262.35,296.96,0.117,475.01,997.2,0.524,7.23,8.23,0.122,False
West Berkshire,E06000037,UA,164918.0,9.95,225.0,228.0,0.013,444.26,621.61,0.285,8.29,9.02,0.081,False
West Northamptonshire,E06000062,UA,441277.0,17.71,264.61,282.26,0.063,383.62,492.92,0.222,10.13,15.1,0.329,False
Westmorland and Furness,E06000064,UA,229821.0,19.02,228.83,279.1,0.18,505.47,709.46,0.288,11.53,11.96,0.036,False
Wiltshire,E06000054,UA,524001.0,13.45,178.31,188.9,0.056,420.33,580.1,0.275,12.29,12.87,0.046,False
Windsor & Maidenhead,E06000040,UA,158760.0,8.38,205.49,208.4,0.014,351.03,475.7,0.262,8.98,13.69,0.344,False
Wokingham,E06000041,UA,187433.0,5.85,200.17,213.08,0.061,382.28,492.01,0.223,6.73,7.17,0.061,False
York,E06000014,UA,208237.0,11.73,163.6,172.41,0.051,390.52,586.14,0.334,13.45,13.53,0.006,False
