service,service_label,ons_code,name,cls,cls_label,real_per_head_2013_14,real_per_head_2024_25,change_pct
libraries,Libraries,E09000025,Newham,LB,London borough,16.05,15.81,-1.5
libraries,Libraries,E08000016,Barnsley,MD,Met district,14.71,15.02,2.1
libraries,Libraries,E10000013,Gloucestershire CC,SC,Shire county,11.97,12.23,2.2
libraries,Libraries,E08000033,Calderdale,MD,Met district,18.97,19.49,2.8
libraries,Libraries,E06000043,Brighton & Hove UA,UA,Unitary,20.61,22.34,8.4
libraries,Libraries,E10000012,Essex CC,SC,Shire county,13.39,15.21,13.6
libraries,Libraries,E09000007,Camden,LB,London borough,27.18,31.13,14.6
libraries,Libraries,E08000006,Salford,MD,Met district,4.07,6.36,56.2
children_social_care,Children's social care,E09000028,Southwark,LB,London borough,353.54,330.1,-6.6
children_social_care,Children's social care,E09000013,Hammersmith & Fulham,LB,London borough,328.66,309.99,-5.7
children_social_care,Children's social care,E06000039,Slough UA,UA,Unitary,240.1,230.75,-3.9
children_social_care,Children's social care,E09000014,Haringey,LB,London borough,306.13,307.07,0.3
children_social_care,Children's social care,E09000011,Greenwich,LB,London borough,322.19,326.94,1.5
children_social_care,Children's social care,E06000034,Thurrock UA,UA,Unitary,276.68,282.83,2.2
children_social_care,Children's social care,E09000022,Lambeth,LB,London borough,368.29,383.88,4.2
children_social_care,Children's social care,E06000043,Brighton & Hove UA,UA,Unitary,235.85,253.8,7.6
children_social_care,Children's social care,E09000031,Waltham Forest,LB,London borough,237.4,257.75,8.6
children_social_care,Children's social care,E06000055,Bedford UA,UA,Unitary,250.79,272.42,8.6
children_social_care,Children's social care,E06000013,North Lincolnshire UA,UA,Unitary,185.65,205.68,10.8
children_social_care,Children's social care,E09000012,Hackney,LB,London borough,325.61,361.15,10.9
children_social_care,Children's social care,E08000006,Salford,MD,Met district,223.87,253.27,13.1
children_social_care,Children's social care,E06000054,Wiltshire UA,UA,Unitary,155.95,178.31,14.3
children_social_care,Children's social care,E08000030,Walsall,MD,Met district,298.48,341.79,14.5
children_social_care,Children's social care,E06000008,Blackburn with Darwen UA,UA,Unitary,292.56,336.27,14.9
children_social_care,Children's social care,E10000012,Essex CC,SC,Shire county,143.89,168.02,16.8
