cls,cls_label,service,service_label,year,real_per_head,n_authorities,caveat
UA,Unitary,housing_gfra,Housing (GFRA),2024-25,41.98,62,
UA,Unitary,libraries,Libraries,2013-14,18.62,56,
UA,Unitary,libraries,Libraries,2018-19,13.78,56,
UA,Unitary,libraries,Libraries,2024-25,10.67,62,
UA,Unitary,planning_development,Planning & development,2013-14,33.3,56,
UA,Unitary,planning_development,Planning & development,2018-19,22.95,56,
UA,Unitary,planning_development,Planning & development,2024-25,31.74,62,
UA,Unitary,public_health,Public health,2013-14,66.43,56,public health grant was new in 2013-14 - base year is a ramp-up
UA,Unitary,public_health,Public health,2018-19,78.11,56,public health grant was new in 2013-14 - base year is a ramp-up
UA,Unitary,public_health,Public health,2024-25,68.47,62,public health grant was new in 2013-14 - base year is a ramp-up
UA,Unitary,refuse_and_recycling,Refuse & recycling,2013-14,35.57,56,
UA,Unitary,refuse_and_recycling,Refuse & recycling,2018-19,32.82,56,
UA,Unitary,refuse_and_recycling,Refuse & recycling,2024-25,36.9,62,
UA,Unitary,total_service_expenditure,Total service expenditure,2013-14,1899.2,56,
UA,Unitary,total_service_expenditure,Total service expenditure,2018-19,1646.31,56,
UA,Unitary,total_service_expenditure,Total service expenditure,2024-25,1772.65,62,
UA,Unitary,waste_disposal,Waste disposal,2013-14,45.87,56,
UA,Unitary,waste_disposal,Waste disposal,2018-19,44.48,56,
UA,Unitary,waste_disposal,Waste disposal,2024-25,39.61,62,
