firm,supplier_raw,category,scope,txns,gbp
PwC,Pricewaterhouse Coopers,consulting,uk,11,837348.72
EY,Ernst & Young,consulting,uk,29,831201.46
Reed,REED EMPLOYMENT,agency_staff,uk,926,825885.48
Deloitte,DELOITTE MSC LTD,consulting,uk,11,817507.89
KPMG,KPMG FEES ACCOUNT,consulting,uk,4,817127.3
PwC,Price Waterhouse Coopers LLp,consulting,uk,23,784968.65
Deloitte,Deloitte MCS Ltd,routed_fund,uk,11,778362.65
Adecco,ADECCO,agency_staff,uk,5,763852.1
PwC,Pricewaterhousecoopers Pvt. Ltd.,consulting,uk,64,756457.29
McKinsey,Mckinsey&co,consulting,uk,2,736563.0
Reed,REED LEARNING LTD,agency_staff,uk,28,694413.18
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,agency_staff,uk,374,683975.63
Deloitte,Deloitte,consulting,uk,32,667367.07
Gartner,GARTNER UK LIMITED,consulting,uk,19,641635.0
PwC,"PRICEWATERHOUSECOOPERS, GHANA",consulting,overseas_member,18,631019.85
Michael Page,PAGE GROUP ISRAEL LIMITED,agency_staff,overseas_member,17,629141.99
McKinsey,Mckinsey And Company Inc Uk,consulting,overseas_member,2,607750.0
Hays,HAYS PERSONNEL SERVICES,agency_staff,uk,1,600244.84
PwC,PricewaterhouseCoopers,consulting,uk,12,595296.42
Gartner,GARTNERGROUP UK LTD,consulting,uk,10,585640.0
Comensura,COMENSURA LTD,agency_staff,uk,100,568596.58
KPMG,KPMG Llp Fees Account,consulting,uk,21,523507.09
PwC,PRICEWATERHOUSECOOPERS  GHANA,consulting,overseas_member,30,511428.68
Manpower,MANPOWER S R L,agency_staff,overseas_member,19,501300.9
PA Consulting,P A CONSULTING SERVICES LTD,consulting,uk,10,496074.68
Deloitte,Deloitte Touche Tohmatsu India LLP,consulting,overseas_member,32,490613.14
EY,ERNST&YOUNG LLP,consulting,uk,2,483232.8
Deloitte,DELOITTE MCS,consulting,uk,11,482249.67
McKinsey,MCKINSEY & CO INC. UNITED KINGDOM,consulting,overseas_member,4,475560.0
Hays,Hays Specialist Recruitment,agency_staff,uk,639,472145.74
Gartner,Gartner Uk Ltd,consulting,uk,2,447000.0
McKinsey,MCKINSEY & CO,consulting,uk,2,419940.0
KPMG,KPMG ANGOLA & MOZAMBIQUE,consulting,overseas_member,14,410423.58
Reed,Reed Specialist Recruitment Ltd,agency_staff,uk,59,404955.41
EY,ERNST AND YOUNG SAS,consulting,overseas_member,5,403891.64
Deloitte,Deloitte Kenya,consulting,overseas_member,12,399358.01
PwC,PRICEWATERHOUSE,consulting,uk,15,398682.5
Bain,BAIN & COMPANY,consulting,uk,2,392000.0
Reed,Reed Personnel Services Plc,agency_staff,uk,213,361923.51
PwC,PwC UK,consulting,uk,9,357382.16
Deloitte,Deloitte MCS Limited,consulting,uk,5,350166.4
Reed,REED EMPLOYMENT SERVICES,agency_staff,uk,447,349016.29
EY,Ernst And  Young,consulting,uk,3,345584.22
KPMG,WWW.KPMG.CO.UK,consulting,uk,190,342199.54
PwC,PRICEWATERHOUSE COOPERS PRIVATE LIMITED,consulting,uk,10,306203.0
PwC,PRICEWATERHOUSECOOPERS AFRICA,consulting,overseas_member,5,305568.0
KPMG,KPMG IDAS WA,consulting,overseas_member,14,305079.53
PA Consulting,P A Consulting Group,consulting,uk,6,304982.55
Deloitte,DELOITTE CONSULTING LLP,consulting,uk,5,301681.0
KPMG,KPMG IT ADVISORY LIMITED,consulting,uk,4,298155.0
Adecco,ADECCO UK LIMITED,agency_staff,uk,9,296194.0
Gartner,GARTNER U.K. LTD,consulting,uk,4,292094.2
Gartner,Gartner Uk Limited,consulting,uk,3,287640.0
PwC,Price Waterhouse Coopers LLP,consulting,uk,7,285063.0
Matrix SCM,Matrix SCM Ltd,agency_staff,uk,163,282031.72
PwC,PRICEWATERHOUSECOOPERS PVT LTD,consulting,uk,6,280336.0
McKinsey,"McKinsey & Co, Inc. United Kingdom",consulting,overseas_member,1,258000.0
PwC,PRICE WATERHOUSE COOPERS,consulting,uk,5,238334.7
Reed,REED TALENT SOLUTIONS LTD,agency_staff,uk,7,235975.07
PwC,PRICEWATERHOUSECOOPERS (KENYA),consulting,overseas_member,14,227489.3
KPMG,KPMG Kenya,consulting,overseas_member,20,222661.38
PwC,PRICEWATERHOUSECOOPERS MANAGEMENT CONSULTING (SHANGHAI) LIMITED BEIJING BRANCH,consulting,overseas_member,4,221710.27
Deloitte,Akintola Williams Deloitte Consultin,consulting,overseas_member,4,220716.46
PwC,PRICEWATERHOUSECOOPERS SERVICES,consulting,uk,4,219351.48
Deloitte,DELOITTE CONSULTING (PTY) LTD,consulting,overseas_member,6,215711.95
Hays,HAYS,agency_staff,uk,32,214159.99
Reed,Reed Employment plc,agency_staff,uk,256,212405.9
PA Consulting,P A CONSULTING GROUP,consulting,uk,12,209893.21
KPMG,KPMG LLP Fees Account,consulting,uk,5,198290.06
Deloitte,DELOITTE & TOUCHE,consulting,uk,4,197344.74
EY,Ernst & Young Llp,consulting,uk,2,193445.22
KPMG,KPMG - CSL,consulting,uk,4,191281.78
Gartner,GARTNER U.K. LIMITED,consulting,uk,1,185839.98
PwC,PwC Rwanda Limited,consulting,overseas_member,15,182100.96
EY,EY PROFESSIONAL SERVICES LIMITED,consulting,uk,1,178575.0
PA Consulting,PA CONSULTING GROUPS,consulting,uk,3,174532.66
Deloitte,Deloitte Touche Tohmatsu India Pvt. Ltd.,consulting,overseas_member,10,172334.1
Reed,REED TALENT SOLUTIONS T/A CONSULTAN,agency_staff,uk,6,170651.65
Manpower,MANPOWER PLC,agency_staff,uk,46,165538.55
KPMG,KPMG Rwanda,consulting,overseas_member,13,161687.97
Deloitte,Drivers Jonas Deloitte,consulting,uk,79,159839.12
KPMG,KPMG ADVISORY HONG KONG LIMITED,consulting,overseas_member,4,156073.58
KPMG,KPMG Inc.,consulting,overseas_member,4,152895.48
Gartner,GARTNER GROUP,consulting,uk,3,152700.0
Gartner,Gartner UK Limited,consulting,uk,3,148700.0
Michael Page,Michael Page Int. Recruitment Ltd,agency_staff,uk,92,146989.56
