firm,supplier_raw,txns,gbp,n_publishers,publishers
EY,ERNST & YOUNG KENYA,4,81795.08,1,Department for International Development
EY,Ernst & Young  Limitada,6,74405.42,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
EY,ERNST & YOUNG (CHINA) ADVISORY LIMITED,1,73789.61,1,Foreign and Commonwealth Office
EY,Ernst & Young Pvt Ltd,5,72537.07,1,Department for International Development
EY,ERNST & YOUNG GLOBAL SERVICES LTD,2,61832.37,1,Foreign and Commonwealth Office
EY,Ernst & Young ( Ghana),2,55686.29,1,Department for International Development
EY,ERNST AND YOUNG ADVISORY SERVICES,1,54792.88,1,Foreign and Commonwealth Office
EY,Ernst and Young,2,54660.08,1,Department for International Development
EY,Ernst and  Young Nigeria,2,47862.45,1,Department for International Development
EY,Ernst & Young Ford Rhodes Sidat Hyder,5,46533.18,1,Department for International Development
EY,ERNST & YOUNG ADVISORY,4,44300.0,1,UK Trade and Investment
EY,ERNST HEINE,1,43826.09,1,Ministry of Defence
EY,HOWARD BERNSTEIN SOLICITORS [ADVOCATE],1,38963.41,1,Ministry of Justice
EY,Ernst & Young Ford Rhodes,5,38847.86,1,Department for International Development
EY,Ernst & Young (Local),1,37465.53,1,"Foreign, Commonwealth and Development Office (FCDO)"
EY,ERNST YOUNG,1,37148.0,1,Ministry of Defence
EY,EY Ford Rhodes,6,35360.0,1,Department for International Development
EY,Ernst & Young Zambia (ZMW),1,23510.44,1,Department for International Development
EY,ERNST  & YOUNG Limitada,4,22422.63,1,Department for International Development
EY,Ernst & Young Vietnam Ltd,1,20123.15,1,Department for International Development
EY,Ernst & Young South Sudan,1,10534.3,1,Department for International Development
EY,Ernst & Young Certified Public Accountants,1,3375.0,1,Department for International Development
EY,Ernst & Young India,1,2800.0,1,Department for International Development
EY,BERNSTOCK SPEIRS,1,1000.0,1,UK Trade and Investment
EY,SAL BEL EY L LASH P VI,1,748.62,1,"Foreign, Commonwealth and Development Office (FCDO)"
EY,ERNST&YOUNG KAZAKHSTAN,1,707.96,1,"Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG LLP,2263,329804927.63,37,"Royal United Hospital Bath NHS Foundation Trust,Department for Education,Portsmouth Hospital NHS Trust,NHS Thames Valley ICB,United Lincolnshire Hospitals NHS Trust,Royal Borough of Greenwich,The Pennine Acute Hospitals NHS Trust,Uttlesford District Council,Isle of Wight NHS Trust,UK Shared Business Services,South Gloucestershire Council,Maidstone and Tunbridge Wells NHS Trust,Cabinet Office,East Sussex Healthcare NHS Trust,UK Sport,Milton Keynes Hospital NHS Foundation Trust,NHS Business Services Authority,Salisbury NHS Foundation Trust,Coventry and Warwickshire Partnership NHS Trust,Shropshire Community Health NHS Trust,Department for Digital, Culture, Media and Sport,Department for Energy Security and Net Zero,Department for Environment, Food and Rural Affairs,Department for International Development,Department for Science, Innovation and Technology,Department for Work and Pensions,Department of Health and Social Care,Foreign and Commonwealth Office,Foreign, Commonwealth and Development Office (FCDO),Home Office,Ministry of Defence,Government Legal Department,HM Revenue and Customs,HM Treasury,Ministry of Housing, Communities and Local Government,National Offender Management Service,UK Trade and Investment"
KPMG,KPMG East Africa Limited,48,106140528.0,1,Department for International Development
KPMG,KPMG DEVELOPMENT SERVICE,100,83265581.03,1,Department for International Development
KPMG,KPMG EAST AFRICA LTD,240,78916266.94,1,Department for International Development
KPMG,KPMG,574,43820782.44,12,"Transport for Greater Manchester,Cabinet Office,Department for Energy Security and Net Zero,Department for International Development,Department for Work and Pensions,HM Revenue and Customs,HM Treasury,Home Office,Ministry of Defence,Ministry of Housing, Communities and Local Government,Ministry of Justice,National Offender Management Service"
KPMG,CSL - KPMG LLP,1068,39073233.09,4,"The National Archives,Department for International Development,HM Revenue and Customs,Home Office"
KPMG,KPMG Advisory Limited,110,18149388.19,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG FIDUCIAIRE,163,17170286.38,2,"Foreign and Commonwealth Office,Foreign, Commonwealth and Development Office (FCDO)"
KPMG,CSL KPMG LLP,192,9382735.39,2,"Department for Education,Department for Work and Pensions"
