firm,supplier_raw,txns,gbp,n_publishers,publishers
Reed,Reed Business,1,200.0,1,"Department for Digital, Culture, Media and Sport"
Reed,FREEDOM FASHION LTD,1,200.0,1,UK Trade and Investment
Michael Page,MICHAEL PAGE INTERNATIONAL PLC,606,3262004.13,1,Department of Health and Social Care
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,608,1784080.2,6,"Blaby District Council,Cabinet Office,The National Archives,Department for Education,Department for Work and Pensions,UK Trade and Investment"
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITM,320,1099500.24,1,Transport for Greater Manchester
Michael Page,Michael Page International Recruitment,276,850701.85,3,"Rushmoor Borough Council,Uttlesford District Council,Cabinet Office"
Michael Page,MICHAEL PAGE INTERNATIONAL,249,842797.31,2,"South Central Ambulance Service NHS Foundation Trust,Ministry of Housing, Communities and Local Government"
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,374,683975.63,2,"Department for International Development,Ministry of Defence"
Michael Page,PAGE GROUP ISRAEL LIMITED,17,629141.99,2,"Foreign and Commonwealth Office,Foreign, Commonwealth and Development Office (FCDO)"
Michael Page,Michael Page Int. Recruitment Ltd,92,146989.56,1,Department for International Development
Michael Page,Michael Page International Recruitment Ltd,24,131298.85,2,"Cabinet Office,The National Archives"
Michael Page,Michael Page International Recruitment Limited T/A Page Personnel,17,126360.0,1,UK Shared Business Services
Michael Page,Michael Page International,32,32836.0,1,South Gloucestershire Council
Michael Page,Michael Page Ltd,1,32300.4,1,Home Office
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUIT. LTD,1,27300.0,1,East Sussex Healthcare NHS Trust
Michael Page,Michael Page International Recruitme,1,25773.25,1,Cabinet Office
Michael Page,Michael Page UK Ltd,37,15395.03,1,Natural History Museum
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITMENT,1,4242.43,1,Transport for Greater Manchester
Michael Page,MICHAEL PAGE **USE ACCOUNT 130114***,3,900.0,1,Blaby District Council
Matrix SCM,MATRIX SCM LTD,218,13706724.0,3,"Former council of North Yorkshire,Royal Borough of Greenwich,North Yorkshire Council"
Matrix SCM,MATRIX BOOKING LTD,12,1631525.87,2,"National Institute for Health and Care Excellence,HM Revenue and Customs"
Matrix SCM,MATRIX RESEARCH & CONSULTANCY LTD,7,325798.18,1,"Ministry of Housing, Communities and Local Government"
Matrix SCM,MATRIX DISPLAY SYSTEMS LTD,7,313741.0,1,Ministry of Defence
Matrix SCM,Matrix SCM Ltd,163,282031.72,1,Uttlesford District Council
Matrix SCM,Biomatrix Water Solutions Limited,4,280840.56,1,Bristol City Council
Matrix SCM,MATRIX EVIDENCE LTD,14,268721.18,1,National Institute for Health and Care Excellence
Matrix SCM,Matrix Moulding Systems Ltd,7,264274.12,1,Department for Energy Security and Net Zero
Matrix SCM,MATRIX ACADEMY TRUST,3,232900.0,1,Department for Education
Matrix SCM,Matrix Booking Ltd,3,228880.61,1,Department for Energy Security and Net Zero
Matrix SCM,CASE MATRIX NETWORK,6,226555.75,1,Foreign and Commonwealth Office
Matrix SCM,KMATRIX DATA SERVICES LTD,7,187000.0,1,UK Trade and Investment
Matrix SCM,MATRIX BOOKING LIMITED,5,173656.08,2,"NHS Business Services Authority,Department of Health and Social Care"
Matrix SCM,MATRIX INSIGHT,4,162352.86,1,Department for Education
Matrix SCM,PURPLE MATRIX LTD,4,161952.86,4,"Portsmouth Hospital NHS Trust,East Sussex Healthcare NHS Trust,Isle of Wight NHS Trust,Maidstone and Tunbridge Wells NHS Trust"
Matrix SCM,MATRIX CHAMBERS,5,145597.0,2,"Transport for Greater Manchester,Home Office"
Matrix SCM,MATRIX SECURITY WATCHDOG,81,87615.44,1,Shropshire Community Health NHS Trust
Matrix SCM,Matrix Academy Trust,1,80000.0,1,Department for Education
Matrix SCM,MATRIX BOOKING LIMIT,2,79545.6,1,Department of Health and Social Care
Matrix SCM,KNOWLEDGE MATRIX LTD,5,79000.0,1,UK Trade and Investment
Matrix SCM,Matrix Development Consultants,2,73771.76,1,Department for International Development
Matrix SCM,Matrix Evidence Ltd,2,73615.68,1,National Offender Management Service
Matrix SCM,Matrix Control Solutions Limited,8,70225.8,2,"Rushmoor Borough Council,Home Office"
Matrix SCM,MATRIX CHAMBERS LTD,2,65280.0,1,Home Office
Matrix SCM,CAMBRIDGE MATRIX LIMITED,2,54988.0,1,Ministry of Defence
Matrix SCM,MATRIX GLOBAL NETWORKS,22,37549.64,2,"Foreign, Commonwealth and Development Office (FCDO),Foreign and Commonwealth Office"
Matrix SCM,Bellamatrix ICt Foundation,1,36706.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
Matrix SCM,MATRIX RESEARCH AND CONSULTANCY LTD,1,35177.15,1,Home Office
Matrix SCM,MATRIX LAW,1,33000.0,1,Department for Education
Matrix SCM,MATRIX PRINT CONSULTANTS LIMITED,8,32225.0,1,Blaby District Council
Matrix SCM,GEOMATRIX EARTH SCIENCE LIMITED,1,30898.8,1,Ministry of Defence
Matrix SCM,MATRIX EVIDENCE LTD#RB30510167,1,29779.5,1,Ministry of Justice
Matrix SCM,MATRIX INSIGHT LTD,1,28911.0,1,National Offender Management Service
Matrix SCM,Enable Infomatrix Ltd,1,28860.94,1,"Department for Environment, Food and Rural Affairs"
Matrix SCM,MATRIX TRAFFIC & TRANSPORT DATA LTD,39,28120.0,2,"Former council of North Yorkshire,North Yorkshire Council"
Matrix SCM,Purple Matrix Ltd,3,20430.0,1,Bristol City Council
Matrix SCM,STRATAMATRIX LTD,15,12755.26,1,Wales Office
Matrix SCM,MATRIX PRINT CONSULTANTS,3,12045.0,1,Blaby District Council
Matrix SCM,Matrix Vocational Associates Limited,13,11070.0,1,South Gloucestershire Council
Matrix SCM,MATRIX CHAMBERS LIMITED,6,8982.0,1,Royal Borough of Greenwich
Matrix SCM,MATRIX SPORTS LLP,5,6550.0,1,UK Trade and Investment
Matrix SCM,MATRIX TRAINING ASSOCIATES LTD,5,5820.0,1,Royal Borough of Greenwich
Matrix SCM,MEETING MATRIX GLOBAL SALES,2,5293.75,1,Queen Elizabeth II Conference Centre
Matrix SCM,"""MATRIX"" MAGAZIN",5,4379.09,1,Foreign and Commonwealth Office
Matrix SCM,Matrix BES ltd,5,4377.9,1,Bristol City Council
Matrix SCM,Matrix Traffic and Transport Data Limited,2,3400.0,1,Bristol City Council
Matrix SCM,Matrix Control Solutions Ltd,4,3169.32,1,Natural History Museum
Matrix SCM,MATRIX RSS LTD,1,3000.0,1,UK Trade and Investment
Matrix SCM,MATRIX ENTERPRISES LTD,2,3000.0,1,UK Trade and Investment
Matrix SCM,MATRIX PARTNERSHIP LTD,2,1500.0,1,UK Trade and Investment
Matrix SCM,COMPUTAMATRIX LTD,5,1385.29,1,UK Trade and Investment
Matrix SCM,MATRIX MANAGEMENT SYSTEMS LTD,1,1000.0,1,UK Trade and Investment
Matrix SCM,BIOMATRIX PHARMA LTD,1,1000.0,1,UK Trade and Investment
Matrix SCM,MATRIX WAREHOUSE,1,881.96,1,Foreign and Commonwealth Office
Matrix SCM,SUNNYVILE MATRIX VENTU,1,698.58,1,Foreign and Commonwealth Office
Matrix SCM,MATRIX HOLDINGS LIMITE,1,636.13,1,Foreign and Commonwealth Office
Matrix SCM,PHARMAMATRIX LTD,1,625.0,1,UK Trade and Investment
Matrix SCM,MATRIXUA3,1,591.76,1,Foreign and Commonwealth Office
Matrix SCM,MATRIX PRETORIA,1,518.68,1,Foreign and Commonwealth Office
Matrix SCM,MATRIX TELEMATICS LTD,1,516.0,1,Transport for Greater Manchester
Matrix SCM,MATRIX SOLUTIONS INTERNATIONAL Ltd (ANZ TRAINING),12,-20077.86,1,Department for Education
Comensura,Comensura Ltd,227,35942311.67,1,Bristol City Council
Comensura,COMENSURA LTD,100,568596.58,1,Transport for Greater Manchester
Adecco,ADECCO UK LTD,1092,2532904.27,5,"Royal Borough of Greenwich,Blaby District Council,Department for International Development,Home Office,UK Trade and Investment"
Adecco,ADECCO ALFRED MARKS,59,1696381.27,1,Home Office
Adecco,ADECCO,5,763852.1,1,"Ministry of Housing, Communities and Local Government"
Adecco,ADECCO UK LIMITED,9,296194.0,1,Maidstone and Tunbridge Wells NHS Trust
Adecco,ADECCO RRHH,3,2574.26,1,"Foreign, Commonwealth and Development Office (FCDO)"
Manpower,MANPOWER UK LTD,598,109841598.98,4,"Royal Borough of Greenwich,Department for Work and Pensions,HM Revenue and Customs,Ministry of Housing, Communities and Local Government"
Manpower,MANPOWER UK LIMITED,49,4176975.7,2,"Home Office,HM Revenue and Customs"
Manpower,MANPOWER GROUP SOLUTIONS SRL,15,1628625.69,1,UK Trade and Investment
Manpower,Manpower Direct UK Ltd,24,1539177.04,1,HM Revenue and Customs
Manpower,MANPOWER S R L,19,501300.9,1,UK Trade and Investment
Manpower,MANPOWER DIRECT (UK) LTD,13,406575.16,1,Ministry of Defence
Manpower,MANPOWER PLC,46,165538.55,1,Department for International Development
Manpower,MANPOWER UK,1,95000.0,1,Department for Work and Pensions
Manpower,Elan Computing Ltd (A Manpower Compa,18,88905.88,2,"Department for Digital, Culture, Media and Sport,Natural History Museum"
Manpower,Quantum Manpower Services Limited,3,6417.0,1,Bristol City Council
Manpower,Manpower UK Ltd,1,4647.0,1,Plymouth City Council
Manpower,Manpower,1,735.0,1,Department for International Development
Manpower,MANPOWER DEVELOPMENT INSTITUTE,1,597.86,1,Department for International Development
Manpower,MANPOWER & MAINTENANCE,1,585.4,1,Foreign and Commonwealth Office
