bucket,supplier_raw,n_txn,gbp_total,n_publishers,a_publisher
pest,WASP BAR CODE TECH GBP,1,1143.9,1,Foreign and Commonwealth Office
pest,WASP SOFTWARE LIMITED,1,34000.0,1,Maidstone and Tunbridge Wells NHS Trust
pest,WASP SOFTWARE LTD,5,10920.0,1,"Ministry of Housing, Communities and Local Government"
duck,WATER OFF A DUCK'S BACK LTD,1,1000.0,1,UK Trade and Investment
allotment,"WATER PLUS - 0375009062 -  HAYDEN ROAD ALLOTMENTS, OLD GLOUCESTER ROAD, HAYDEN,  CHELTENHAM  - WATER  CHARGE - 07/07/2020-07/08/2020",1,19700.06,1,Cheltenham Borough Council
allotment,"WATER PLUS 0375009062 - ALLOTMENTS, HATHERLEY ROAD, CHELTENHAM - WATER CHARGE - 07/08/2020-07/09/2020",1,546.44,1,Cheltenham Borough Council
allotment,"WATER PLUS 0375009062 - HAYDEN ROAD ALLOTMENTS, OLD GLOUCESTER ROAD, HAYDEN, CHELTENHAM - WATER CHARGE - 07/08/2020-07/09/2020",1,3336.57,1,Cheltenham Borough Council
windmill,WATERMILL WINES LTD (THIERRYS),4,3250.0,1,UK Trade and Investment
windmill,WATERMILLOCK VILLAGE HALL,1,1773.6,1,Eden District Council
windmill,WATERMILLS EVENTS LIMITED,1,31340.0,1,Ministry of Defence
sausage,WESTAWAY SAUSAGES LTD,3,3000.0,1,UK Trade and Investment
whale,WHALE HILL PRIMARY SCHOOL,1,25000.0,1,Department for Education
whale,WHALE TANKERS LIMITED,1,3116.4,1,Royal Borough of Greenwich
alpaca,WILDWOOD ALPACAS,1,165.0,1,Shropshire Community Health NHS Trust
windmill,WINDMILL L E A D ACADEMY,1,50000.0,1,Department for Education
windmill,WINDMILL LEAD ACADEMY,2,139076.88,1,Department for Education
windmill,WINDMILL ORGANICS LTD,2,399.64,1,UK Trade and Investment
windmill,WINDMILL PRIMARY SCHOOL,4,149166.0,1,Department for Education
windmill,WINDMILL SURGERY,38,509890.39,1,NHS Norfolk and Suffolk ICB - 25k Expenditure Report
cheese,WINDYRIDGE CHEESE LTD,2,1000.0,1,UK Trade and Investment
wizard,WINSTANLEY WIZARDS TABLE TENNIS CLUB,5,2388.0,1,Blaby District Council
owl,WISE OWL BUSINESS SOLU,2,1548.0,2,Department for Education
owl,WISE OWL BUSINESS SOLUTI,1,714.0,1,Natural History Museum
owl,WISE OWL BUSINESS SOLUTIONS LTD,10,7260.0,2,"Ministry of Housing, Communities and Local Government"
wizard,WIZARD PAINT REPAIRS,1,545.59,1,Foreign and Commonwealth Office
allotment,WOODLAND ALLOTMENTS TENANTS GROUP,1,800.0,1,Former council of North Yorkshire
crier_misc,WP-WWW.OYEZFORMSLINK.C,1,9.69,1,Eden District Council
dolphin,WWW.DOLPHINUK.CO.UK,1,856.8,1,"Department for Environment, Food and Rural Affairs"
viking,WWW.VIKING-DIRECT.CO.U,7,3385.97,4,Eden District Council
viking,WWW.VIKING.DE/,50,44645.15,1,Foreign and Commonwealth Office
viking,WWW.VIKINGDIRECT.IE,3,2051.22,1,Foreign and Commonwealth Office
viking,WWW.VIKINGDIRECT.NL/,8,6329.19,1,Foreign and Commonwealth Office
windmill,Watermill School,42,5604178.93,1,Department for Education
whale,Whale Hill Primary School,46,5993498.56,1,Department for Education
whale,Whale Tankers Limited,7,5526.29,1,South Gloucestershire Council
owl,Whitleigh Wise Owls Two,4,10870.0,1,Plymouth City Council
windmill,Windmill Academy,10,52048.96,1,Department for Education
windmill,Windmill Care Limited,23,16325.45,1,South Gloucestershire Council
windmill,Windmill Hill Academy,125,4172043.27,1,Department for Education
windmill,Windmill Hill City Farm Community Enterprise,21,15564.75,1,Bristol City Council
windmill,Windmill Hill City Farm Ltd,594,2868707.33,1,Bristol City Council
windmill,Windmill Hill Community Association,4,72616.0,1,Bristol City Council
windmill,Windmill Hill Primary,45,4469791.8,1,Department for Education
windmill,Windmill Hill School,10,322499.86,1,Department for Education
windmill,Windmill House,56,81187.0,1,South Gloucestershire Council
windmill,Windmill L.E.A.D. Academy,76,8759520.79,1,Department for Education
windmill,Windmill Primary School,277,16987475.33,1,Department for Education
lighthouse,Winford CoE Primary School (Lighthouse Schools Partnership),9,10958.71,1,Bristol City Council
knight_medieval,Winterbourne Medieval Barn Trust,2,4241.98,1,South Gloucestershire Council
owl,Wise Owl Business Solutions Ltd,1,625.0,1,Department for International Development
viking,Www.Viking-Direct.Co.U,1,959.8,1,Plymouth City Council
ye_olde,YE OLDE FRIARS OF KESW,1,531.0,1,Foreign and Commonwealth Office
ye_olde,YE OLDE KINGS HEAD,1,11.94,1,Natural History Museum
ye_olde,YE OLDE PUNCHBOWL INN,2,255.2,1,Shropshire Community Health NHS Trust
thatching,YOCO    THATCHSCAPES,2,3031.89,1,"Foreign, Commonwealth and Development Office (FCDO)"
falconry,YOREDALE BIRDS OF PREY LTD,20,16800.0,2,Former council of North Yorkshire
pest,YORKSHIRE PEST CONTROL LTD & YORKSHIRE FLYSCREENS,1,675.0,1,Former council of North Yorkshire
