expense_area,n_txn,gbp_total,n_publishers,a_publisher
OPS CFC FES DIRECTOR OF OPERATIONS,1,114.0,1,Department for Work and Pensions
OPS CFC FES DISCRETE BUDGET CONTROL,6,38401.0,1,Department for Work and Pensions
OPS CFC FES GROUP MANAGER - CCIIS INTELLIGENCE,5,209261.0,1,Department for Work and Pensions
OPS CFC FES GROUP MANAGER - CCIIS INVESTIGATIONS,14,145347.0,1,Department for Work and Pensions
OPS CFC FES HEAD OF CCIIS,1,215.0,1,Department for Work and Pensions
OPS CFC FES HEAD OF FEPS,5,318.0,1,Department for Work and Pensions
OPS CFC FES HEAD OF LOCAL SERVICE - NORTH,5,442.0,1,Department for Work and Pensions
OPS CFC FES HEAD OF LOCAL SERVICE - SOUTH,13,228.0,1,Department for Work and Pensions
OPS CFC FES NATIONAL LS ADMIN TEAM,4,4.0,1,Department for Work and Pensions
OPS CFC FES PROJECT,7,327.0,1,Department for Work and Pensions
OPS CFC FES PROJECT 2,7,203327.4,1,Department for Work and Pensions
OPS CFC FES SURVEILLANCE TEAM - CCIIS INVESTIGATIONS,3,3.0,1,Department for Work and Pensions
"OPS CFC FESLS AVON, SEVERN & THAMES",67,3164.0,1,Department for Work and Pensions
OPS CFC FESLS BEDFORDSHIRE & HERTFORDSHIRE,19,1096.0,1,Department for Work and Pensions
"OPS CFC FESLS BERKSHIRE, SURREY & SUSSEX",51,2557.0,1,Department for Work and Pensions
OPS CFC FESLS BIRMINGHAM AND SOLIHULL,25,3698.0,1,Department for Work and Pensions
OPS CFC FESLS BLACK COUNTRY,9,981.0,1,Department for Work and Pensions
OPS CFC FESLS CENTRAL ADMIN SUPPORT,6,84.0,1,Department for Work and Pensions
OPS CFC FESLS CENTRAL SCOTLAND DISTRICT,69,1658.0,1,Department for Work and Pensions
"OPS CFC FESLS DEVON, CORNWALL & SOMERSET",35,37023.0,1,Department for Work and Pensions
"OPS CFC FESLS DORSET, WILTSHIRE, HAMPSHIRE & IOW",27,1907.0,1,Department for Work and Pensions
OPS CFC FESLS DURHAM TEES VALLEY,44,1096.0,1,Department for Work and Pensions
OPS CFC FESLS EAST & SOUTH EAST SCOTLAND,153,4939.0,1,Department for Work and Pensions
OPS CFC FESLS EAST ANGLIA,88,3842.0,1,Department for Work and Pensions
OPS CFC FESLS EAST LONDON,26,4624.0,1,Department for Work and Pensions
OPS CFC FESLS ESSEX,22,266.0,1,Department for Work and Pensions
OPS CFC FESLS GROUP MANAGER - LONDON AND HOME COUNTIES,19,428.0,1,Department for Work and Pensions
OPS CFC FESLS GROUP MANAGER - NORTH EAST,31,803.0,1,Department for Work and Pensions
OPS CFC FESLS GROUP MANAGER - NORTH WEST,11,828.0,1,Department for Work and Pensions
OPS CFC FESLS GROUP MANAGER - SCOTLAND,1,8.0,1,Department for Work and Pensions
OPS CFC FESLS GROUP MANAGER - SOUTHERN ENGLAND,24,2629.0,1,Department for Work and Pensions
OPS CFC FESLS GROUP MANAGER - WALES,13,879.0,1,Department for Work and Pensions
OPS CFC FESLS GT MANCHESTER CENTRAL & CHESHIRE,41,2707.0,1,Department for Work and Pensions
OPS CFC FESLS GT MANCHESTER EAST AND WEST,34,1038.0,1,Department for Work and Pensions
OPS CFC FESLS KENT,42,3585.0,1,Department for Work and Pensions
OPS CFC FESLS LANCASHIRE AND CUMBRIA,15,1537.0,1,Department for Work and Pensions
OPS CFC FESLS LEICESTERSHIRE & NORTHAMPTONSHIRE,22,2990.0,1,Department for Work and Pensions
"OPS CFC FESLS LINC, NOTTS & RUTLAND",14,980.0,1,Department for Work and Pensions
OPS CFC FESLS LONDON & HC ADMIN SUPPORT,25,25511.0,1,Department for Work and Pensions
OPS CFC FESLS MERCIA,17,809.0,1,Department for Work and Pensions
OPS CFC FESLS MERSEYSIDE,16,1709.0,1,Department for Work and Pensions
OPS CFC FESLS MID SHIRES,18,1332.0,1,Department for Work and Pensions
OPS CFC FESLS NE ADMIN SUPPORT,4,42.0,1,Department for Work and Pensions
OPS CFC FESLS NORTH & MID WALES,38,1478.0,1,Department for Work and Pensions
"OPS CFC FESLS NORTH AND EAST YORKSHIRE, & THE HUMBER",28,1250.0,1,Department for Work and Pensions
OPS CFC FESLS NORTH LONDON,39,2713.0,1,Department for Work and Pensions
OPS CFC FESLS NORTH SCOTLAND,122,2185.0,1,Department for Work and Pensions
"OPS CFC FESLS NORTHUMBERLAND, TYNE AND WEAR",69,1090.0,1,Department for Work and Pensions
OPS CFC FESLS NW ADMIN SUPPORT,3,26.0,1,Department for Work and Pensions
OPS CFC FESLS SCOTLAND ADMIN SUPPORT,5,529.0,1,Department for Work and Pensions
OPS CFC FESLS SOUTH EAST WALES,64,1093.0,1,Department for Work and Pensions
OPS CFC FESLS SOUTH LONDON,26,3614.0,1,Department for Work and Pensions
OPS CFC FESLS SOUTH WEST WALES,45,1922.0,1,Department for Work and Pensions
OPS CFC FESLS SOUTH YORKSHIRE,23,1099.0,1,Department for Work and Pensions
OPS CFC FESLS SOUTHERN ADMIN SUPPORT,12,507.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - CENTRAL,88,698.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - LONDON & HOME COUNTIES,76,2137.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - NORTH EAST,54,3350.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - NORTH WEST,109,890.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - SCOTLAND,43,333.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - SOUTHERN,105,5680.0,1,Department for Work and Pensions
OPS CFC FESLS SURVEILLANCE TEAM - WALES,42,251.0,1,Department for Work and Pensions
OPS CFC FESLS WALES ADMIN SUPPORT,1,46.0,1,Department for Work and Pensions
OPS CFC FESLS WEST LONDON,57,6876.0,1,Department for Work and Pensions
OPS CFC FESLS WEST SCOTLAND,36,129.0,1,Department for Work and Pensions
OPS CFC FESLS WEST YORKSHIRE,45,1564.0,1,Department for Work and Pensions
OPS CFC FIU CAB & DCMU,31,198009.0,1,Department for Work and Pensions
OPS CFC FS GROUP MANAGER - CENTRAL ENGLAND,37,2080.0,1,Department for Work and Pensions
OPS CFC GT MANCHESTER CENTRAL & EAST,10,1247.0,1,Department for Work and Pensions
OPS CFC HEAD OF CENTRAL,40,77618.0,1,Department for Work and Pensions
OPS CFC HEAD OF DIRECTORATE,34,4613.0,1,Department for Work and Pensions
OPS CFC HEAD OF HOME COUNTIES,56,555.0,1,Department for Work and Pensions
OPS CFC HEAD OF LONDON,19,67903.0,1,Department for Work and Pensions
OPS CFC HEAD OF NORTH EAST,44,4473.0,1,Department for Work and Pensions
OPS CFC HEAD OF NW & WALES,33,3112.03,1,Department for Work and Pensions
OPS CFC HEAD OF SCOTLAND,2,101.0,1,Department for Work and Pensions
OPS CFC HEAD OF SOUTHERN,128,164603.0,1,Department for Work and Pensions
"OPS CFC HEAD OF TRANSITION, COMMS, SUPPORT, NINO & QAT",12,7010.0,1,Department for Work and Pensions
OPS CFC ILFORD,88,17514.0,1,Department for Work and Pensions
OPS CFC ISLE OF WIGHT,60,107117.0,1,Department for Work and Pensions
OPS CFC KENT,37,1432.0,1,Department for Work and Pensions
OPS CFC LANCASHIRE AND CUMBRIA,22,1737.0,1,Department for Work and Pensions
OPS CFC LEICESTERSHIRE & NORTHANTS,27,3105.0,1,Department for Work and Pensions
OPS CFC LINC & NOTTS,24,3703.0,1,Department for Work and Pensions
OPS CFC MANCHESTER WEST & EAST LANCASHIRE,27,3144.0,1,Department for Work and Pensions
OPS CFC MERCIA,30,6855.0,1,Department for Work and Pensions
OPS CFC MERSEYSIDE,6,552.0,1,Department for Work and Pensions
OPS CFC MID SHIRES,30,3545.0,1,Department for Work and Pensions
OPS CFC NINO GLASGOW DECISION MAKING,78,197735.0,1,Department for Work and Pensions
OPS CFC NINO HEAD OF OPERATIONS & POLICY,38,387403.0,1,Department for Work and Pensions
OPS CFC NINO ISLE OF WIGHT DECISION MAKING,130,56143.0,1,Department for Work and Pensions
OPS CFC NINO SERVICE CENTRAL,4686,50744.0,1,Department for Work and Pensions
OPS CFC NINO SERVICE LONDON & HOME COUNTIES,5284,102804.0,1,Department for Work and Pensions
OPS CFC NINO SERVICE NORTHERN,7748,115996.0,1,Department for Work and Pensions
OPS CFC NINO SERVICE SCOTLAND,310,4630.0,1,Department for Work and Pensions
OPS CFC NINO SERVICE SOUTHERN & WALES,868,11606.0,1,Department for Work and Pensions
OPS CFC NORTH AND EAST YORKSHIRE,56,4009.0,1,Department for Work and Pensions
OPS CFC NORTH LONDON,15,641.0,1,Department for Work and Pensions
OPS CFC NORTH MID WALES & CHESHIRE,30,3147.0,1,Department for Work and Pensions
OPS CFC NORTH SCOTLAND,7,932.0,1,Department for Work and Pensions
OPS CFC NORTHUMBERLAND TYNE AND WEAR,131,1761.0,1,Department for Work and Pensions
OPS CFC OPERATIONAL INTELLIGENCE,18,100424.0,1,Department for Work and Pensions
OPS CFC OPS TEST & LEARN,16,1389.0,1,Department for Work and Pensions
OPS CFC OXFORD & GLOUCESTER,26,1782.85,1,Department for Work and Pensions
OPS CFC QUALITY & ASSURANCE,17,9812.0,1,Department for Work and Pensions
OPS CFC QUALITY & ASSURANCE TEAM,22,16714.86,1,Department for Work and Pensions
OPS CFC RAMSGATE,55,10573.0,1,Department for Work and Pensions
OPS CFC RISK & INTELLIGENCE SERVICE,22,246317.0,1,Department for Work and Pensions
OPS CFC SOC INVESTIGATIONS,557,437275.0,1,Department for Work and Pensions
OPS CFC SOUTH EAST WALES,34,5653.0,1,Department for Work and Pensions
OPS CFC SOUTH LONDON 1,9,668.0,1,Department for Work and Pensions
OPS CFC SOUTH LONDON 2,41,1277.0,1,Department for Work and Pensions
OPS CFC SOUTH WEST WALES,27,4302.0,1,Department for Work and Pensions
OPS CFC SOUTH YORKSHIRE,20,1439.0,1,Department for Work and Pensions
OPS CFC SURREY AND SUSSEX,41,3451.5,1,Department for Work and Pensions
OPS CFC TRANSFORMATION,8,30796.0,1,Department for Work and Pensions
"OPS CFC TRANSITION, COMMS, NINO AND Q&A",9,1178.0,1,Department for Work and Pensions
OPS CFC WEST LONDON 1,21,2539.0,1,Department for Work and Pensions
OPS CFC WEST LONDON 2,15,836.0,1,Department for Work and Pensions
OPS CFC WEST SCOTLAND,43,2980.0,1,Department for Work and Pensions
OPS CFC WEST YORKSHIRE,435,5395.0,1,Department for Work and Pensions
OPS CHIEF OPERATING OFFICER,424,155009.32,1,Department for Work and Pensions
OPS CHIEF OPERATING OFFICER SUPPORT,384,289629.81,1,Department for Work and Pensions
OPS CMG PROGRAMME RESOURCE,1,339.0,1,Department for Work and Pensions
OPS DD ATW HALIFAX,2,871.0,1,Department for Work and Pensions
OPS DD ATW HARROW,1,77.0,1,Department for Work and Pensions
OPS DD BARNSLEY IIDB,1,48.0,1,Department for Work and Pensions
OPS DD BARROW IIDB,3,212.0,1,Department for Work and Pensions
OPS DD BLACKPOOL 1,5,998.0,1,Department for Work and Pensions
OPS DD BLACKPOOL 2,4,1467.0,1,Department for Work and Pensions
OPS DD BLACKPOOL DLA,4,100.0,1,Department for Work and Pensions
OPS DD BOOTLE,3,72379.0,1,Department for Work and Pensions
OPS DD BRADFORD,2,312.0,1,Department for Work and Pensions
OPS DD BRADFORD IIDB,1,63.0,1,Department for Work and Pensions
OPS DD CHORLTON,2,759.0,1,Department for Work and Pensions
OPS DD DEPUTY DIRECTOR,2,2631.0,1,Department for Work and Pensions
OPS DD DEPUTY DIRECTOR (DECISION MAKING),2,389.0,1,Department for Work and Pensions
OPS DD DIRECTOR,63,4033073.0,1,Department for Work and Pensions
OPS DD MIDLAND DLA,4,240.0,1,Department for Work and Pensions
OPS DD PIP LEAP BIRMINGHAM,2,787.0,1,Department for Work and Pensions
OPS DD PIP LEAP BLACKPOOL,2,310.0,1,Department for Work and Pensions
OPS DD PIP LEAP BRISTOL,6,963.0,1,Department for Work and Pensions
OPS DD PIP LEAP GLOUCESTER,1,115.0,1,Department for Work and Pensions
OPS DD PIP LEAP HALIFAX,1,133.0,1,Department for Work and Pensions
OPS DD PIP SERCO,13,5750972.0,1,Department for Work and Pensions
OPS DD SUNDERLAND,3,747.0,1,Department for Work and Pensions
OPS DD TELFORD,2,401.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING BOLTON,4,3754.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING BRISTOL,1,62.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING CANTERBURY,5,715.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING DUNDEE,7,11180.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING MIDDLESBROUGH,3,917.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING ST AUSTELL,2,408.0,1,Department for Work and Pensions
OPS DD UC DECISION MAKING WIGAN,1,98.0,1,Department for Work and Pensions
OPS DD WALES,3,775867.0,1,Department for Work and Pensions
OPS DD WCA ASSESSMENT CENTRE,1,92.0,1,Department for Work and Pensions
OPS DD WCA BARNSLEY,1,109.0,1,Department for Work and Pensions
OPS DD WCA BIRKENHEAD,4,661.0,1,Department for Work and Pensions
OPS DD WCA CAERPHILLY,2,117.0,1,Department for Work and Pensions
OPS DD WCA COSHAM,2,163.0,1,Department for Work and Pensions
OPS DD WCA GREENOCK,2,80.0,1,Department for Work and Pensions
OPS DD WCA HANDSWORTH,1,3.0,1,Department for Work and Pensions
OPS DD WCA HANLEY,1,10.0,1,Department for Work and Pensions
OPS DD WCA HULL,2,109.0,1,Department for Work and Pensions
OPS DD WCA OLDHAM,2,153.0,1,Department for Work and Pensions
OPS DD WCA PLYMOUTH,2,714.0,1,Department for Work and Pensions
OPS DD WCA PRESTON,1,57.0,1,Department for Work and Pensions
OPS DD WCA STOCKTON,1,46.0,1,Department for Work and Pensions
OPS DD YORKSHIRE,2,67.0,1,Department for Work and Pensions
OPS DEL P BUSINESS CONTINUITY & RESILIENCE,2,119.0,1,Department for Work and Pensions
OPS DELIVERY AME FUNERAL PAYMENTS,1,108.0,1,Department for Work and Pensions
OPS DS ATW BASILDON ADVISER HUB,2,33.0,1,Department for Work and Pensions
OPS DS ATW DISC EP LONDON & HOME COUNTIES,3,25107.0,1,Department for Work and Pensions
OPS DS ATW DISC EP NATIONAL,727,6961695.56,1,Department for Work and Pensions
OPS DS ATW DISC EP NORTH EAST,2,17.0,1,Department for Work and Pensions
OPS DS ATW DISC EP NORTH WEST,3,37170.0,1,Department for Work and Pensions
OPS DS ATW DISC EP SCOTLAND,2,30.0,1,Department for Work and Pensions
OPS DS ATW DISC EP SOUTH EAST,4,76562.0,1,Department for Work and Pensions
OPS DS ATW DISC EP WALES,2,15.0,1,Department for Work and Pensions
OPS DS ATW DISC EP WEST MIDLANDS,3,48865.0,1,Department for Work and Pensions
OPS DS ATW HALIFAX ADVISER HUB,8,913.0,1,Department for Work and Pensions
OPS DS ATW HALIFAX TELEPHONY TEAM,2,20.0,1,Department for Work and Pensions
OPS DS ATW HARROW ADVISER HUB,3,93.0,1,Department for Work and Pensions
OPS DS ATW LONDON ASU,2,25.0,1,Department for Work and Pensions
OPS DS ATW SLT & BUSINESS SUPPORT TEAM,8,335.0,1,Department for Work and Pensions
OPS DS BARNSLEY IIDB,169,61077.0,1,Department for Work and Pensions
OPS DS BARROW IIDB,231,65795.73,1,Department for Work and Pensions
OPS DS BELFAST SC,31,2342294.0,1,Department for Work and Pensions
OPS DS BENEFITS GROUP SUPPORT,24,38602.0,1,Department for Work and Pensions
OPS DS BLACKPOOL DELIVERY TEAM SUPPORT,38,8118.0,1,Department for Work and Pensions
OPS DS BLACKPOOL DLA,729,10224.32,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 1,173,8178.14,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 10,71,16104.7,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 11,12,2658.0,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 2,444,17126.0,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 4,892,12431.0,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 5,17,593.0,1,Department for Work and Pensions
OPS DS BLACKPOOL SERVICE CENTRE 6,552,1062028.0,1,Department for Work and Pensions
OPS DS BOOTLE 1,298,540247.0,1,Department for Work and Pensions
OPS DS BRADFORD 1,48,2673.0,1,Department for Work and Pensions
OPS DS BRISTOL 1,343,272941.0,1,Department for Work and Pensions
OPS DS CHORLTON 1,301,93144.3,1,Department for Work and Pensions
OPS DS DIRECTOR,38,80189.0,1,Department for Work and Pensions
OPS DS DLA DRT,4,357.01,1,Department for Work and Pensions
OPS DS DRT ANNESLEY,12,887.0,1,Department for Work and Pensions
OPS DS DRT BALHAM,112,186948.37,1,Department for Work and Pensions
OPS DS DRT BIRKENHEAD,16,500.82,1,Department for Work and Pensions
OPS DS DRT BLACKPOOL (ESA),9,22595.0,1,Department for Work and Pensions
OPS DS DRT CHESTERFIELD,35,12866.52,1,Department for Work and Pensions
OPS DS DRT COATBRIDGE,55,13134.29,1,Department for Work and Pensions
OPS DS DRT DUNDEE,15,22378.0,1,Department for Work and Pensions
OPS DS DRT GROUP SUPPORT,93,26061917.0,1,Department for Work and Pensions
OPS DS DRT INVERNESS,107,26917.8,1,Department for Work and Pensions
OPS DS DRT LLANELLI,26,46336.0,1,Department for Work and Pensions
OPS DS DRT LOWESTOFT,41,96338.93,1,Department for Work and Pensions
OPS DS DRT MERTHYR TYDFIL,25,20242.0,1,Department for Work and Pensions
OPS DS DRT MILTON KEYNES,65,81513.56,1,Department for Work and Pensions
OPS DS DRT NORWICH,56,78157.7,1,Department for Work and Pensions
OPS DS DRT PRESENTING OFFICERS,75,47230.0,1,Department for Work and Pensions
OPS DS DRT PRESENTING OFFICERS (SEO2),19,5662.0,1,Department for Work and Pensions
OPS DS DRT SHEFFIELD,45,69882.9,1,Department for Work and Pensions
OPS DS DRT SPRINGBURN,14,35091.42,1,Department for Work and Pensions
OPS DS DRT WATFORD,9,675.0,1,Department for Work and Pensions
OPS DS DRT WELLINGBOROUGH,23,1554.0,1,Department for Work and Pensions
OPS DS DRT WEMBLEY,33,209100.45,1,Department for Work and Pensions
OPS DS HEAD OF INFRASTRUCTURE AND PLANNING,57,30822.0,1,Department for Work and Pensions
OPS DS LEAP BLACKPOOL,9,1424.0,1,Department for Work and Pensions
OPS DS LEAP BRISTOL,9,3634.0,1,Department for Work and Pensions
OPS DS LEAP HALIFAX,8,306.49,1,Department for Work and Pensions
OPS DS MIDLANDS DLA,373,587035.82,1,Department for Work and Pensions
OPS DS NEWPORT 1,26,15053.54,1,Department for Work and Pensions
OPS DS PIP DRT BELLE VALE,74,210593.92,1,Department for Work and Pensions
OPS DS PIP DRT BLACKPOOL (SEO1),56,120417.16,1,Department for Work and Pensions
OPS DS PIP DRT BLACKPOOL (SEO2),45,131588.0,1,Department for Work and Pensions
OPS DS PIP DRT GLASGOW,231,270990.5,1,Department for Work and Pensions
OPS DS PIP DRT NEWCASTLE,96,258225.42,1,Department for Work and Pensions
OPS DS PIP DRT NEWPORT,42,1349.07,1,Department for Work and Pensions
OPS DS PIP DRT SPRINGBURN,28,23575.89,1,Department for Work and Pensions
OPS DS PIP DRT WALES (SEO1),4,486.47,1,Department for Work and Pensions
OPS DS PIP DRT WALES (SEO2),8,1254.05,1,Department for Work and Pensions
OPS DS PIP DRT WALES (SEO3),1,54.0,1,Department for Work and Pensions
OPS DS PIP DRT WASHINGTON,1,25.0,1,Department for Work and Pensions
OPS DS PIP SERCO,3801,12254808.24,1,Department for Work and Pensions
OPS DS SCOP TEAM,7,2928.0,1,Department for Work and Pensions
OPS DS SUNDERLAND SERVICE CENTRE 8,311,6020.81,1,Department for Work and Pensions
OPS DS TELFORD SERVICE CENTRE 3,758,15494.0,1,Department for Work and Pensions
OPS DS UC DRT FS RAVENHURST,4,35694.15,1,Department for Work and Pensions
OPS DS UC DRT FS STOCKTON,2,85.69,1,Department for Work and Pensions
OPS DS UC DRT LIVE SERVICE,2,16.0,1,Department for Work and Pensions
OPS DS UC DRT LIVE SERVICE DEL P,26,5065.0,1,Department for Work and Pensions
OPS DS WALES 1,331,431431.72,1,Department for Work and Pensions
OPS DS YORKSHIRE 1,235,205612.0,1,Department for Work and Pensions
OPS Deputy Director,2,176500.0,1,Coventry and Warwickshire Partnership NHS Trust
OPS Emergency Planning,1,28627.2,1,Coventry and Warwickshire Partnership NHS Trust
OPS IIMP - CLITHEROE CSA,1,1.0,1,Department for Work and Pensions
OPS IIMP-CENTRAL A/T,4,317.0,1,Department for Work and Pensions
OPS IIMP-MANCHESTER AIRPORT,1,0.23,1,Department for Work and Pensions
OPS IIMP-ROTHWELL JCP,1,73.0,1,Department for Work and Pensions
OPS IIMP-SANDBACH JCP,1,86.0,1,Department for Work and Pensions
OPS IIMP-WMR TRAINING,1,8.0,1,Department for Work and Pensions
OPS IIMP-YATE JCP,2,25.0,1,Department for Work and Pensions
OPS Junior Medical Staff,30,2115577.85,1,Coventry and Warwickshire Partnership NHS Trust
OPS LB BELFAST,4,2206029.0,1,Department for Work and Pensions
OPS LB BELFAST SERVICE CENTRE,31,13351532.0,1,Department for Work and Pensions
OPS LB CAPITA,21,8668783.0,1,Department for Work and Pensions
OPS MI TCS,22,201168.0,1,Department for Work and Pensions
OPS NET CC ANNESLEY CONTACT CENTRE,123,23882.32,1,Department for Work and Pensions
OPS NET CC BANGOR CONTACT CENTRE,372,373352.32,1,Department for Work and Pensions
OPS NET CC BLACKBURN CONTACT CENTRE,440,254142.37,1,Department for Work and Pensions
OPS NET CC BLACKPOOL CONTACT CENTRE,326,217216.55,1,Department for Work and Pensions
OPS NET CC BOOTLE CONTACT CENTRE,528,404919.05,1,Department for Work and Pensions
OPS NET CC BRIDGEND CONTACT CENTRE,494,365387.18,1,Department for Work and Pensions
OPS NET CC BRISTOL CONTACT CENTRE,636,310928.04,1,Department for Work and Pensions
OPS NET CC BUSINESS GROWTH UK BA,13,278.89,1,Department for Work and Pensions
OPS NET CC CAERPHILLY CONTACT CENTRE,3,457.0,1,Department for Work and Pensions
OPS NET CC CAPITA,245,47901392.03,1,Department for Work and Pensions
OPS NET CC CENTRAL COSTS,31,187031.4,1,Department for Work and Pensions
OPS NET CC CHORLTON CONTACT CENTRE,526,191321.2,1,Department for Work and Pensions
OPS NET CC CHORLTON TEST SERVICE CENTRE,18,1189.0,1,Department for Work and Pensions
OPS NET CC COVENTRY CONTACT CENTRE,352,273499.15,1,Department for Work and Pensions
OPS NET CC CUSTOMER COMPLAINTS,60,10114.0,1,Department for Work and Pensions
OPS NET CC CUSTOMER COMPLAINTS & QUALITY CHECKING TEAM,58,14984.02,1,Department for Work and Pensions
OPS NET CC DEL ADMIN REPORTING,4,45.6,1,Department for Work and Pensions
OPS NET CC DERBY CONTACT CENTRE,413,333977.57,1,Department for Work and Pensions
OPS NET CC DIRECTORS OFFICE,504,198002.37,1,Department for Work and Pensions
OPS NET CC DUNDEE CONTACT CENTRE,373,278402.67,1,Department for Work and Pensions
OPS NET CC EXETER CONTACT CENTRE,447,160739.51,1,Department for Work and Pensions
OPS NET CC GARSTON CONTACT CENTRE,217,132101.44,1,Department for Work and Pensions
OPS NET CC GLASGOW CONTACT CENTRE,294,79260.4,1,Department for Work and Pensions
OPS NET CC GRIMSBY CROWN HOUSE CONTACT CENTRE,722,661361.93,1,Department for Work and Pensions
OPS NET CC GROUP 1 MANAGEMENT OFFICE,142,17336.83,1,Department for Work and Pensions
OPS NET CC GROUP 2 MANAGEMENT OFFICE,217,35191.43,1,Department for Work and Pensions
OPS NET CC GROUP 3 MANAGEMENT OFFICE,214,43162.62,1,Department for Work and Pensions
OPS NET CC GROUP 4 MANAGEMENT OFFICE,284,39212.03,1,Department for Work and Pensions
OPS NET CC GROUP 5 MANAGEMENT OFFICE,214,42607.34,1,Department for Work and Pensions
OPS NET CC GROUP 6 MANAGEMENT OFFICE,189,31655.68,1,Department for Work and Pensions
OPS NET CC GROUP MANAGER NORTH WEST,89,6326.5,1,Department for Work and Pensions
OPS NET CC GROUP MANAGER SCOTLAND & NORTH EAST,28,2587.0,1,Department for Work and Pensions
OPS NET CC GROUP MANAGER WALES & SOUTHERN,51,10262.8,1,Department for Work and Pensions
OPS NET CC GROWTH AUTO ENROL,17,182.0,1,Department for Work and Pensions
OPS NET CC GROWTH HSE,3,129.38,1,Department for Work and Pensions
OPS NET CC GROWTH STRATEGY TEAM,16,1467.74,1,Department for Work and Pensions
OPS NET CC HALIFAX CONTACT CENTRE,559,379046.89,1,Department for Work and Pensions
OPS NET CC HEAD OF PROFESSION,8,25645.96,1,Department for Work and Pensions
OPS NET CC LINCOLN CONTACT CENTRE,337,215403.87,1,Department for Work and Pensions
OPS NET CC LIVERPOOL CONTACT CENTRE,22,17022.54,1,Department for Work and Pensions
OPS NET CC LOWESTOFT CONTACT CENTRE,247,209404.06,1,Department for Work and Pensions
OPS NET CC MAKERFIELD CONTACT CENTRE,457,570725.66,1,Department for Work and Pensions
OPS NET CC MIDDLESBOROUGH CONTACT CENTRE,275,144007.54,1,Department for Work and Pensions
OPS NET CC NETWORK MANAGEMENT TEAM,591,5534243.9,1,Department for Work and Pensions
OPS NET CC NEWCASTLE CONTACT CENTRE,209,194923.3,1,Department for Work and Pensions
OPS NET CC NEWPORT CONTACT CENTRE,303,106163.07,1,Department for Work and Pensions
OPS NET CC NORWICH CONTACT CENTRE,418,250323.2,1,Department for Work and Pensions
OPS NET CC PAISLEY CONTACT CENTRE,500,370785.97,1,Department for Work and Pensions
OPS NET CC PEMBROKE DOCK CONTACT CENTRE,386,164461.57,1,Department for Work and Pensions
OPS NET CC POOLE CONTACT CENTRE,530,176778.14,1,Department for Work and Pensions
OPS NET CC PROLOG,2,14.15,1,Department for Work and Pensions
OPS NET CC SECONDMENTS,7,206.33,1,Department for Work and Pensions
OPS NET CC SERCO JSD NINO,42,2901603.0,1,Department for Work and Pensions
OPS NET CC SERCO NBFH,39,472402.0,1,Department for Work and Pensions
OPS NET CC SHEFFIELD CONTACT CENTRE,700,605106.05,1,Department for Work and Pensions
OPS NET CC SOUTHEND CONTACT CENTRE,796,182834.68,1,Department for Work and Pensions
OPS NET CC SPRINGBURN CONTACT CENTRE,504,523799.92,1,Department for Work and Pensions
OPS NET CC STOCKPORT CONTACT CENTRE,474,333340.43,1,Department for Work and Pensions
OPS NET CC TAUNTON CONTACT CENTRE,253,91480.56,1,Department for Work and Pensions
OPS NET CC TELFORD CONTACT CENTRE,410,277321.4,1,Department for Work and Pensions
OPS NET CC TORQUAY CONTACT CENTRE,649,344309.71,1,Department for Work and Pensions
OPS NET CC VENTURA,39,5383002.45,1,Department for Work and Pensions
OPS NET CC VERTEX JSD NINO,17,2479236.78,1,Department for Work and Pensions
OPS NET CC VERTEX NBFH,11,290356.64,1,Department for Work and Pensions
OPS NET DIG BUSINESS LIVE RUNNING,166,1516358.48,1,Department for Work and Pensions
OPS NET DIG BUSINESS SUPPORT,83,22768.83,1,Department for Work and Pensions
OPS NET DIG CENTRAL SERVICE/COMMS,74,12807.0,1,Department for Work and Pensions
OPS NET DIG CHANNEL SHIFT LEAD,161,438233.91,1,Department for Work and Pensions
OPS NET DIG DELTA,109,54161.89,1,Department for Work and Pensions
OPS NET DIG DIGITAL SERVICES DIRECTORS OFFICE,219,102480.51,1,Department for Work and Pensions
OPS NET DIG ENABLING BENEFITS,122,165336.0,1,Department for Work and Pensions
