firm,tier,flag,payer,supplier_raw,year,txns,gross_outflow_gbp,gross_inflow_gbp,net_gbp
Bristow & Sutor,debt_enforcement,,Bristol City Council,Bristow & Sutor,2020,46,101319.73,-97560.64,3759.09
Bristow & Sutor,debt_enforcement,,Bristol City Council,Bristow & Sutor,2022,38,54300.49,-53844.62,455.87
Bristow & Sutor,debt_enforcement,,Bristol City Council,Bristow & Sutor,2023,73,128455.39,-126299.42,2155.97
Bristow & Sutor,debt_enforcement,,Bristol City Council,Bristow & Sutor,2024,120,436474.52,-429803.71,6670.81
Bristow & Sutor,debt_enforcement,,Bristol City Council,Bristow & Sutor,2025,139,513065.82,-505986.87,7078.95
Bristow & Sutor,debt_enforcement,,Bristol City Council,Bristow & Sutor,2026,47,189388.05,-185433.99,3954.06
Bristow & Sutor,debt_enforcement,,South Gloucestershire Council,Bristow & Sutor,2011,4,888.0,0.0,888.0
Bristow & Sutor,debt_enforcement,,Cheltenham Borough Council,Bristow & Sutor,2020,1,527.12,0.0,527.12
Bristow & Sutor,debt_enforcement,,North Yorkshire Council,BRISTOW & SUTOR,2025,6,9942.36,-9942.36,0.0
Bristow & Sutor,debt_enforcement,,North Yorkshire Council,BRISTOW & SUTOR,2026,23,34419.83,-34015.99,403.84
Bristow & Sutor,debt_enforcement,,Blaby District Council,BRISTOW SUTOR,2013,1,368.62,0.0,368.62
Jacobs (enforcement),debt_enforcement,,North Yorkshire Council,JACOBS DEBT RECOVERY,2025,2,2730.0,-2730.0,0.0
Jacobs (enforcement),debt_enforcement,,North Yorkshire Council,JACOBS DEBT RECOVERY,2026,8,16328.59,-16328.59,0.0
Equita,debt_enforcement,,HM Revenue and Customs,EQUITA LTD,2013,1,25072.54,0.0,25072.54
Equita,debt_enforcement,,HM Revenue and Customs,EQUITA LTD,2014,14,606388.44,0.0,606388.44
Equita,debt_enforcement,,HM Revenue and Customs,EQUITA LTD,2015,12,656376.13,0.0,656376.13
Equita,debt_enforcement,,HM Revenue and Customs,EQUITA LTD,2016,1,39245.36,0.0,39245.36
Equita,debt_enforcement,,Royal Borough of Greenwich,EQUITA LTD,2014,8,5062.94,0.0,5062.94
Equita,debt_enforcement,,Royal Borough of Greenwich,EQUITA LTD,2015,26,82228.76,-68524.13,13704.63
Equita,debt_enforcement,,Royal Borough of Greenwich,EQUITA LTD,2016,16,42127.87,-35106.64,7021.23
Equita,debt_enforcement,,North Yorkshire Council,EQUITA LIMITED,2024,2,3370.0,-3370.0,0.0
Equita,debt_enforcement,,North Yorkshire Council,EQUITA LIMITED,2025,4,15622.93,-15622.93,0.0
Equita,debt_enforcement,,North Yorkshire Council,EQUITA LIMITED,2026,6,24205.38,-24205.38,0.0
Rossendales,debt_enforcement,,HM Revenue and Customs,ROSSENDALES LTD,2012,5,460218.7,0.0,460218.7
Rossendales,debt_enforcement,,HM Revenue and Customs,ROSSENDALES LTD,2013,13,975114.67,0.0,975114.67
Rossendales,debt_enforcement,,HM Revenue and Customs,ROSSENDALES LTD,2014,12,539098.43,0.0,539098.43
Rossendales,debt_enforcement,,HM Revenue and Customs,ROSSENDALES LTD,2015,17,1032422.14,0.0,1032422.14
Rossendales,debt_enforcement,,HM Revenue and Customs,ROSSENDALES LTD,2016,2,147392.01,0.0,147392.01
Rossendales,debt_enforcement,,HM Revenue and Customs,Rossendales Limited,2012,4,246109.94,0.0,246109.94
Rossendales,debt_enforcement,,HM Revenue and Customs,Rossendales Ltd,2014,1,25131.54,0.0,25131.54
Rossendales,debt_enforcement,,Ministry of Justice,ROSSENDALES LTD,2013,12,1913240.98,0.0,1913240.98
Rossendales,debt_enforcement,,Royal Borough of Greenwich,ROSSENDALES LTD,2012,1,3774.0,0.0,3774.0
Rossendales,debt_enforcement,,Royal Borough of Greenwich,ROSSENDALES LTD,2013,2,2340.0,0.0,2340.0
Rossendales,debt_enforcement,,Blaby District Council,ROSSENDALES,2016,1,319.42,0.0,319.42
Rossendales,debt_enforcement,,Blaby District Council,ROSSENDALES,2017,2,731.82,0.0,731.82
Rossendales,debt_enforcement,,Blaby District Council,ROSSENDALES,2018,3,3407.35,0.0,3407.35
Rossendales,debt_enforcement,,Bristol City Council,Rossendales Ltd,2020,34,97718.47,-93714.23,4004.24
CDER Group,debt_enforcement,,Bristol City Council,CDER Group Limited,2025,1,1939.79,0.0,1939.79
CDER Group,debt_enforcement,,Department of Health and Social Care,CDER GROUP LIMITED.,2020,1,617.0,0.0,617.0
Whyte & Co,debt_enforcement,,Royal Borough of Greenwich,WHYTE & CO,2012,43,33056.59,0.0,33056.59
Whyte & Co,debt_enforcement,,Royal Borough of Greenwich,WHYTE & CO,2013,47,39195.33,-2827.34,36367.99
Whyte & Co,debt_enforcement,,Royal Borough of Greenwich,WHYTE & CO,2014,66,67494.53,-7545.14,59949.39
Whyte & Co,debt_enforcement,,Royal Borough of Greenwich,WHYTE & CO,2015,90,204509.1,-142338.56,62170.54
Whyte & Co,debt_enforcement,,Royal Borough of Greenwich,WHYTE & CO,2016,92,191276.32,-127056.89,64219.43
Whyte & Co,debt_enforcement,,Royal Borough of Greenwich,WHYTE & CO,2017,48,93841.14,-55015.69,38825.45
Rundles,debt_enforcement,,Royal Borough of Greenwich,RUNDLES & CO LTD,2014,8,8124.31,-3006.17,5118.14
Rundles,debt_enforcement,,Royal Borough of Greenwich,RUNDLES & CO LTD,2015,40,114784.28,-95653.57,19130.71
Rundles,debt_enforcement,,Royal Borough of Greenwich,RUNDLES & CO LTD,2016,69,259819.91,-216054.98,43764.93
Rundles,debt_enforcement,,Royal Borough of Greenwich,RUNDLES & CO LTD,2017,24,107595.99,-89663.34,17932.65
Rundles,debt_enforcement,,South Gloucestershire Council,Rundle & Co Limited,2010,11,9146.3,0.0,9146.3
Rundles,debt_enforcement,,South Gloucestershire Council,Rundle & Co Limited,2011,15,2755.13,0.0,2755.13
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2019,6,3333.07,0.0,3333.07
Rundles,debt_enforcement,,Uttlesford District Council,Rundle & Co Ltd,2020,3,2310.51,0.0,2310.51
