group,supplier_raw,publisher,expense_type_class,year,txns,gbp
Marston,MARSTON GROUP,Ministry of Justice,610200-Debtors < 1 Year - VAT,2011,15,1196143.39
Marston,MARSTON GROUP,Ministry of Justice,610200-Debtors < 1 Year - VAT,2012,2,164066.33
Marston,MARSTON GROUP,Ministry of Justice,223000-Other Expenditure,2013,2,0.0
Marston,MARSTON GROUP LTD,North Yorkshire Council,201600 Financial Services > Debt Collection & Recovery,2025,2,0.0
Marston,MARSTON GROUP LTD,North Yorkshire Council,201600 Financial Services > Debt Collection & Recovery,2026,8,0.0
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,1,25072.54
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (AME),2014,4,210232.39
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,10,396156.05
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (AME),2015,4,114107.48
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,8,542268.65
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,1,39245.36
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Joint Authorities,2014,8,5062.94
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Joint Authorities,2015,6,3454.32
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Private Contractor,2015,20,10250.31
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Private Contractor,2016,16,7021.23
Rossendales,Rossendales Ltd,Bristol City Council,Services - Fees and Charges,2020,34,4004.24
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt collection serv,2012,5,460218.7
Rossendales,Rossendales Limited,HM Revenue and Customs,Debt collection serv,2012,4,246109.94
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,1,46328.05
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt collection serv,2013,12,928786.62
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (AME),2014,3,153173.99
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,9,385924.44
Rossendales,Rossendales Ltd,HM Revenue and Customs,Debt coll serv (Del),2014,1,25131.54
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (AME),2015,3,101997.17
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,14,930424.97
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,2,147392.01
Rossendales,ROSSENDALES LTD,Ministry of Justice,,2013,12,1913240.98
Rossendales,ROSSENDALES LTD,Royal Borough of Greenwich,,2012,1,3774.0
Rossendales,ROSSENDALES LTD,Royal Borough of Greenwich,,2013,2,2340.0
