firm,supplier_raw,publisher,expense_type,year,txns,gbp,n_negative,gbp_negative,min_amt,max_amt
Equita,EQUITA LIMITED,North Yorkshire Council,351200 Street & Traffic Management > Parking > Fines Collection,2026,6,0.0,3,-24205.38,-9350.75,9350.75
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt collection serv,2012,5,460218.7,0,0.0,36759.82,149788.29
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt collection serv,2013,12,928786.62,0,0.0,26119.1,222334.33
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,1,46328.05,0,0.0,46328.05,46328.05
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,9,385924.44,0,0.0,27393.11,69055.07
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (AME),2014,3,153173.99,0,0.0,45630.9,58230.95
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,14,930424.97,0,0.0,28225.18,138184.68
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (AME),2015,3,101997.17,0,0.0,29777.89,41378.25
Rossendales,ROSSENDALES LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,2,147392.01,0,0.0,55228.11,92163.9
Rossendales,Rossendales Limited,HM Revenue and Customs,Debt collection serv,2012,4,246109.94,0,0.0,25105.02,127415.36
Rossendales,Rossendales Ltd,HM Revenue and Customs,Debt coll serv (Del),2014,1,25131.54,0,0.0,25131.54,25131.54
Rossendales,ROSSENDALES LTD,Ministry of Justice,,2013,12,1913240.98,0,0.0,58051.58,477432.0
Rossendales,ROSSENDALES LTD,Royal Borough of Greenwich,,2012,1,3774.0,0,0.0,3774.0,3774.0
Rossendales,ROSSENDALES LTD,Royal Borough of Greenwich,,2013,2,2340.0,0,0.0,540.0,1800.0
Rossendales,ROSSENDALES,Blaby District Council,,2016,1,319.42,0,0.0,319.42,319.42
Rossendales,ROSSENDALES,Blaby District Council,,2017,2,731.82,0,0.0,312.22,419.6
Rossendales,ROSSENDALES,Blaby District Council,,2018,3,3407.35,0,0.0,377.34,2310.0
Rossendales,Rossendales Ltd,Bristol City Council,Services - Fees and Charges,2020,34,4004.24,15,-93714.23,-11919.12,11919.12
CDER,CDER Group Limited,Bristol City Council,Council Tax,2025,1,1939.79,0,0.0,1939.79,1939.79
CDER,CDER GROUP LIMITED.,Department of Health and Social Care,,2020,1,617.0,0,0.0,617.0,617.0
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,,2012,43,33056.59,0,0.0,503.66,1635.91
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,,2013,47,36367.99,1,-2827.34,-2827.34,3392.81
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,,2014,30,26930.03,0,0.0,510.07,1999.19
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Student Award Payment,2014,20,18435.84,2,-7545.14,-4589.59,4589.59
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Debt Collection Agency Charges,2014,12,12621.37,0,0.0,486.28,1638.89
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Professional Fees,2014,4,1962.15,0,0.0,431.96,563.89
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Debt Collection Agency Charges,2015,25,28875.09,0,0.0,685.13,1658.18
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Student Award Payment,2015,58,28467.72,29,-142338.56,-9420.06,11304.07
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Professional Fees,2015,7,4827.73,0,0.0,523.31,1371.67
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Debt Collection Agency Charges,2016,27,33129.97,0,0.0,522.26,1819.56
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Student Award Payment,2016,56,25411.36,28,-127056.89,-7621.03,9145.24
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Professional Fees,2016,9,5678.1,0,0.0,530.87,853.87
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Debt Collection Agency Charges,2017,15,24040.59,0,0.0,603.29,2958.67
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Student Award Payment,2017,26,10225.27,13,-51126.34,-6082.22,7298.66
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Professional Fees,2017,5,3781.72,0,0.0,664.98,893.33
Whyte & Co,WHYTE & CO,Royal Borough of Greenwich,Equipment,2017,2,777.87,1,-3889.35,-3889.35,4667.22
Rundles,RUNDLES & CO LTD,Royal Borough of Greenwich,Student Award Payment,2014,8,5118.14,1,-3006.17,-3006.17,3006.17
Rundles,RUNDLES & CO LTD,Royal Borough of Greenwich,Student Award Payment,2015,40,19130.71,20,-95653.57,-9566.31,11479.58
Rundles,RUNDLES & CO LTD,Royal Borough of Greenwich,Student Award Payment,2016,69,43764.93,34,-216054.98,-12636.3,15163.56
Rundles,RUNDLES & CO LTD,Royal Borough of Greenwich,Student Award Payment,2017,22,16342.11,11,-81710.63,-11093.68,13312.51
Rundles,RUNDLES & CO LTD,Royal Borough of Greenwich,Equipment,2017,2,1590.54,1,-7952.71,-7952.71,9543.25
Rundles,Rundle & Co Limited,South Gloucestershire Council,VAT Element,2010,8,8218.52,0,0.0,607.58,1963.27
Rundles,Rundle & Co Limited,South Gloucestershire Council,Other Private Contractors,2010,3,927.78,0,0.0,79.78,430.0
Rundles,Rundle & Co Limited,South Gloucestershire Council,Other Private Contractors,2011,15,2755.13,0,0.0,2.56,498.5
Rundles,Rundle & Co Ltd,Uttlesford District Council,Revenues Admin - Fees,2019,5,2495.5,0,0.0,364.42,627.16
Rundles,Rundle & Co Ltd,Uttlesford District Council,Revenues Admin - Consultants,2019,1,837.57,0,0.0,837.57,837.57
Rundles,Rundle & Co Ltd,Uttlesford District Council,Revenues Admin - Consultants,2020,1,1294.29,0,0.0,1294.29,1294.29
Rundles,Rundle & Co Ltd,Uttlesford District Council,Revenues Admin - Fees,2020,2,1016.22,0,0.0,438.25,577.97
Rundles,Rundle & Co Ltd,Uttlesford District Council,HMRC VAT,2021,1,75.0,0,0.0,75.0,75.0
Rundles,Rundle & Co Ltd,Uttlesford District Council,HMRC VAT,2022,1,75.0,0,0.0,75.0,75.0
Rundles,Rundle & Co Ltd,Uttlesford District Council,HMRC VAT,2023,5,1317.61,0,0.0,145.3,336.31
Rundles,Rundle & Co Ltd,Uttlesford District Council,HMRC VAT,2024,2,544.27,0,0.0,150.0,394.27
Rundles,Rundle & Co Ltd,Uttlesford District Council,HMRC VAT,2025,2,620.0,0,0.0,310.0,310.0
Rundles,RUNDLE & CO LTD,Transport for Greater Manchester,"Rent, Rates & Service Charges",2020,1,3084.9,0,0.0,3084.9,3084.9
JBW,JBW GROUP LIMITED,Royal Borough of Greenwich,,2014,1,516.0,0,0.0,516.0,516.0
JBW,JBW GROUP LIMITED,Royal Borough of Greenwich,Services Private Contractor,2014,6,0.0,3,-12942.55,-5868.55,5868.55
JBW,JBW GROUP LIMITED,Royal Borough of Greenwich,Services Joint Authorities,2015,4,1376.96,2,-6884.78,-4235.2,5082.24
JBW,JBW GROUP LIMITED,Royal Borough of Greenwich,Services Private Contractor,2015,4,1325.42,2,-6627.06,-3378.44,4054.13
JBW,JBW GROUP LIMITED,Royal Borough of Greenwich,Services Private Contractor,2016,25,7891.18,12,-39080.83,-4483.4,5380.08
JBW,JBW GROUP LIMITED,Royal Borough of Greenwich,Services Private Contractor,2017,16,4937.41,8,-24686.98,-4208.43,5050.12
JBW,JBW Group,Plymouth City Council,Bailiff Costs,2015,1,425.0,0,0.0,425.0,425.0
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,,2012,22,21225.74,0,0.0,517.95,1780.74
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,,2013,19,12701.84,1,-4069.55,-4069.55,4883.46
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,,2014,13,9654.34,0,0.0,541.45,1243.62
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Student Award Payment,2014,17,7739.53,4,-19062.78,-7235.86,7235.86
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Debt Collection Agency Charges,2014,1,626.26,0,0.0,626.26,626.26
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Student Award Payment,2015,50,24281.59,24,-120916.49,-8573.86,10288.63
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Debt Collection Agency Charges,2015,3,1816.83,0,0.0,563.73,683.0
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Student Award Payment,2016,46,23060.45,21,-110412.22,-8778.87,10534.64
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Student Award Payment,2017,14,7743.28,7,-38716.5,-8313.39,9976.07
Ross & Roberts,ROSS & ROBERTS LTD,Royal Borough of Greenwich,Debt Collection Agency Charges,2017,2,2426.54,0,0.0,516.54,1910.0
Ross & Roberts,Ross & Roberts Ltd.,Bristol City Council,Services - Fees and Charges,2020,15,2223.39,7,-19108.55,-4164.93,4389.93
Ross & Roberts,Ross & Roberts Ltd.,Bristol City Council,Services - Fees and Charges,2023,3,395.7,1,-451.64,-451.64,451.64
Ross & Roberts,Ross & Roberts Limited,Rushmoor Borough Council,Bailiff Fees,2016,2,310.26,1,-1071.14,-1071.14,1381.4
Ross & Roberts,Ross & Roberts Limited,Rushmoor Borough Council,Bailiff Fees,2017,1,1633.44,0,0.0,1633.44,1633.44
