pattern,expense_type,publisher,txns,gbp,n_suppliers,top_suppliers
ENFORCEMENT,Development Control & Enforcement,Eden District Council,4,20535.0,4,ANESCO LIMITED=15550.0; MR L SHARP (ABAgri LTD)=3465.0; redacted information=770.0; PROSPUS GROUP LTD=750.0
ENFORCEMENT,Law Enforcement & safety Equip.Surveillance & Detention-PROG,Home Office,4,11330.7,1,CARDIFF INTERNATIONAL AIRPORT=11330.7
ENFORCEMENT,Direct Action - Planning Enforcement,Eden District Council,2,10651.24,2,AMEY PLC=9981.24; IAN CANNON LTD=670.0
ENFORCEMENT,"Venue hire enforcements training course, operations deliveryivery","Department for Environment, Food and Rural Affairs",1,9000.0,1,ROYAL YORK HOTEL=9000.0
ENFORCEMENT,Part time bailiff wages for enforcement work.,"Department for Environment, Food and Rural Affairs",7,6214.04,1,DESURVEY PLC=6214.04
ENFORCEMENT,Venue hire for essential enforcement operations,"Department for Environment, Food and Rural Affairs",1,5785.85,1,ROYAL YORK HOTEL=5785.85
ENFORCEMENT,OPS CFC DEBT ENFORCEMENT TEAM,Department for Work and Pensions,68,5423.72,5,CLARITY TRAVEL LIMITED=2610.87; DA LANGUAGES LTD=1383.63; ROYAL BANK OF SCOTLAND=606.51; HHG ASSOCIATES LTD=502.0; H H ASSOCIATES LTD=320.71
ENFORCEMENT,Wages for part time enforcement officers.,"Department for Environment, Food and Rural Affairs",6,5338.04,1,DESURVEY PLC=5338.04
ENFORCEMENT,Accommodation for 29 staff for 2 nights for attendance at 3 days professional training - Northern Enforcement seminar,"Department for Environment, Food and Rural Affairs",5,4560.0,1,HOTEL 53                 YORK=4560.0
ENFORCEMENT,"Enforcement Course Plymouth 15 people x 4 nights 24 hour delegate rate including room hire, food, bed and breakfast","Department for Environment, Food and Rural Affairs",4,3787.75,1,JURYS INN                PLYMOUTH=3787.75
ENFORCEMENT,Temp agency staff to undertake enforcement administration work,"Department for Environment, Food and Rural Affairs",5,3784.8,1,PERTEMPS LTD=3784.8
ENFORCEMENT,Enforcement and Legal Case Management Project Communications Officer.,"Department for Environment, Food and Rural Affairs",3,3194.34,1,PERTEMPS LTD=3194.34
ENFORCEMENT,Covid Compliance and Enforcement Expenditure,Rushmoor Borough Council,5,3040.23,4,Signway Supplies=1925.38; Signs Express (Farnborough)=449.55; Serco Ltd=342.3; Parrs Workplace Equipment=323.0
ENFORCEMENT,Covid Compliance and Enforcement,Rushmoor Borough Council,3,1333.63,3,Reveal Media Ltd=564.0; Daisy Corporate Services Trading Ltd=428.0; Niton Equipment Ltd=341.63
ENFORCEMENT,"Enforcement Once Team Member, additional workload, W/E 03/08/12","Department for Environment, Food and Rural Affairs",2,1293.89,1,PERTEMPS LTD=1293.89
ENFORCEMENT,"Enforcement Once Team Member, additional workload, W/E 10/08/12","Department for Environment, Food and Rural Affairs",2,1261.47,1,PERTEMPS LTD=1261.47
ENFORCEMENT,"Enforcement Once Team Member, additional workload, W/E 27/07/12","Department for Environment, Food and Rural Affairs",2,1261.47,1,PERTEMPS LTD=1261.47
ENFORCEMENT,"Accommodation (B&B) for attendance on a 3 week Maritime Enforcement Course. MMO paid, this was paid back by Welsh Government","Department for Environment, Food and Rural Affairs",2,1178.89,1,PREMIER INN44521710      PLYMOUTH=1178.89
ENFORCEMENT,Project support officer in National Enforcement Service.,"Department for Environment, Food and Rural Affairs",1,748.75,1,PERTEMPS LTD=748.75
ENFORCEMENT,"Enforcement Once Team Member,  additional workload. w/e 29/06","Department for Environment, Food and Rural Affairs",1,743.1,1,PERTEMPS LTD=743.1
ENFORCEMENT,"1 Temporary Case Officer, Enforcement Once, w/e 01/06/2012","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1 Temporary Case Officer, Enforcement Once, w/e 25/05/2012","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once Team Member,  additional workload.w/e 06/07","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once Team Member,  additional workload.w/e 13/07","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once Team Member,  additional workload.w/e 22/06","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once Team Member, additional workload.  w/e 25/05/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once Team Member, additional workload. w/e 01/06/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once Team Member, additional workload. w/e 25/05/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"1, Enforcement Once team member,  additional workload. w/e18/05/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"Enforcement Once, additional workload, W/E 03/08/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"Enforcement Once, additional workload, W/E 20/07/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,"Enforcement Once, additional workload, W/E 27/07/12","Department for Environment, Food and Rural Affairs",1,635.23,1,PERTEMPS LTD=635.23
ENFORCEMENT,Emergency First Aid Course for 5 members of enforcement team,"Department for Environment, Food and Rural Affairs",1,630.0,1,British Red Cross Society=630.0
ENFORCEMENT,Area Environment Managers enforcement meeting 16 delegates and photocopying,"Department for Environment, Food and Rural Affairs",1,598.8,1,PRIORY ROOMS (BULL STR=598.8
ENFORCEMENT,Illegal Waste Site Task Force  Project Board and Lead Enforcement. 16 Delegates,"Department for Environment, Food and Rural Affairs",1,595.2,1,PRIORY ROOMS=595.2
ENFORCEMENT,Flight for 1 traveller to attend EU Enforcement Working Group in Brussels,"Department for Environment, Food and Rural Affairs",1,575.4,1,SNBA GBP E-C0820SB91RRK7 ZAVENTEM=575.4
ENFORCEMENT,"1, Enforcement Once Team Member, additional workload.  w/e 08/06/12","Department for Environment, Food and Rural Affairs",1,518.35,1,PERTEMPS LTD=518.35
ENFORCEMENT,"1 Temporary Case Officer, Enforcement Once, w/e 08/06/2012","Department for Environment, Food and Rural Affairs",1,509.35,1,PERTEMPS LTD=509.35
ENFORCEMENT,"1, Enforcement Once Team Member additional workload.  w/e 08/06/12","Department for Environment, Food and Rural Affairs",1,509.35,1,PERTEMPS LTD=509.35
ENFORCEMENT,National Enforcement Service Management Team meeting - No availability at Olton or Sapphire..,"Department for Environment, Food and Rural Affairs",1,507.0,1,THE ST JOHN S HOTEL F=507.0
ENFORCEMENT,Specialist enforcement Personal Protective Equipment for virtual team members,"Department for Environment, Food and Rural Affairs",1,504.46,1,PENRITH SURVIVAL=504.46
ENFORCEMENT,Enforcement Workshop: 12 enforcement staff,"Department for Environment, Food and Rural Affairs",1,504.0,1,DEAF BLIND UK TRADING=504.0
ENFORCEMENT,"1, Enforcement Once Team Member, additional workload.  w/e 01/06/12","Department for Environment, Food and Rural Affairs",1,500.38,1,PERTEMPS LTD=500.38
ENFORCEMENT,8 people bed and breakfast for 12 nights (total cost £876) for Fisheries Course for Non-Enforcement Officers and the Induction Course in Newcastle,"Department for Environment, Food and Rural Affairs",1,500.0,1,JURYS INN                NEWCASTLE=500.0
ENFORCEMENT,Accommodation (B&B) for attendance on a 3 week Maritime Enforcement Course. MMO employee Course deliverer,"Department for Environment, Food and Rural Affairs",1,500.0,1,THISTLE HOTEL            NEWCASTLE=500.0
ENFORCEMENT,"Accommodation (B&B) for attendance on a 3 week Maritime Enforcement Course. MMO employee, participant","Department for Environment, Food and Rural Affairs",1,500.0,1,THISTLE HOTEL            NEWCASTLE=500.0
BAILIFF,BAILIFF TRACE,Department for Work and Pensions,19,1550545.8,2,HM REVENUE & CUSTOMS=791366.0; HMRC=759179.8
BAILIFF,BAILIFF COMMISSION,Department for Work and Pensions,30,448487.4,7,DRYDENS LTD=259234.66; MARSTON GROUP LTD=106089.0; DRYDENS FAIRFAX SOLICITORS=52126.0; HARPER MACLEOD LLP=23959.0; AKINIKA=5498.0
BAILIFF,111620-Bailiff Fees (NOS),Ministry of Justice,4,328684.61,1,MARSTON GROUP=328684.61
BAILIFF,CMG OPS EXTERNAL CONTRACTS/SLAS BAILIFFS,Department for Work and Pensions,1,114000.0,1,QUALCO UK LTD=114000.0
BAILIFF,BAILIFF OTHER,Department for Work and Pensions,2,49395.0,1,MARSTON GROUP LTD=49395.0
BAILIFF,Part time bailiff wages for enforcement work.,"Department for Environment, Food and Rural Affairs",7,6214.04,1,DESURVEY PLC=6214.04
BAILIFF,Payment for part-time bailiff staff.,"Department for Environment, Food and Rural Affairs",5,4572.36,1,DESURVEY PLC=4572.36
BAILIFF,Bailiff Fees,Rushmoor Borough Council,3,1943.7,1,Ross & Roberts Limited=1943.7
BAILIFF,Bailiff Costs,Plymouth City Council,1,425.0,1,JBW Group=425.0
DEBT_RECOVERY,Aid Programme - Contributions to Debt Relief,Department for International Development,40,1036760603.25,15,INTERNATIONAL DEVELOPMENT ASSOCIATION 'B ACC'=773490000.0; AFRICAN DEVELOPMENT BANK=93000000.0; AFRICAN  DEVELOPMENT BANK GROUP=82107288.9; International Monetary Fund (GBP)=40000000.0; AFRICAN  DEVELOPMENT BANK GROUP (AFDF)=23134763.86
DEBT_RECOVERY,610400-Debtors <1 year - Prepayments & Accrued Income,Ministry of Justice,4057,337052045.48,198,CITY OF WESTMINSTER=38660889.6; CITY OF LONDON=13601512.09; COLLINGWOOD RIGBY=13036363.74; BERKLEY ESTATES LONDON LTD=12184908.98; HP ENTERPRISE SERVICES UK LTD=11671698.83
DEBT_RECOVERY,Debt coll serv (DEL),HM Revenue and Customs,677,330742892.02,15,INTEGRATED DEBT SERVICES LTD T/AS=158082646.38; TDX GROUP LTD=137757543.44; INTEGRATED DEBT SERVICES LTD=19440723.61; ADVANTIS CREDIT LTD=2279076.33; COMMERCIAL COLLECTION SERVICES=2063437.85
DEBT_RECOVERY,CA - OTHER RECEIVABLES - INTER DWP DEBTOR - TO FOREIGN BANK ACCOUNTS,Department for Work and Pensions,11,312030144.0,7,EUROPEAN COMMISSION=282545724.0; INTERNATIONAL LABOUR OFFICE=28996049.0; SANS INSTITUTE=316133.0; JAMES B JOYCE AND CO=69680.0; THE PUBLIC TRUSTEE OF QUEENSLAND=40000.0
DEBT_RECOVERY,Debt Relief,Department for International Development,8,154935176.39,7,ECGD ACCOUNT=81500718.14; INTERNATIONAL DEVELOPMENT ASSOCIATION 'B ACC'=47250000.0; Export Credits Guarantee Dept=13076175.7; AFRICAN  DEVELOPMENT BANK GROUP=10426349.92; IFAD (USD)=1706130.0
DEBT_RECOVERY,TRADE DEBTORS,Department for Work and Pensions,77,109416378.16,3,TELEREAL TRILLIUM=109415992.68; MATALAN=382.98; INCHCAPE FLEET SOLUTIONS LTD=2.5
DEBT_RECOVERY,CHG DIGITAL DEBT MANAGEMENT SERVICE,Department for Work and Pensions,493,34268557.46,15,SCRUMCONNECT LTD=9397861.0; ALEXANDER MANN SOLUTIONS LTD=8411708.0; TECKNUOVO LTD=5371576.0; C&R SOFTWARE=3474872.0; BETTER GROUP LTD T/A BETTERGOV=3105965.0
DEBT_RECOVERY,Debt collection serv,HM Revenue and Customs,308,32465220.51,24,iQor holdings Limited=4182931.97; DRYDENSFAIRFAX SOLICITORS=3898477.85; Commercial Collection Services=3172380.77; IQOR HOLDINGS LTD=2368955.45; COMMERCIAL COLLECTION SERVICES=2150759.57
DEBT_RECOVERY,610200-Debtors < 1 Year - VAT,Ministry of Justice,663,29747349.3,76,ATOS IT SERVICES UK LTD=9561604.54; HP ENTERPRISE SERVICES UK LTD=2619491.96; LOGICA UK LTD=2327077.66; STERIA LTD=2119556.05; MITIE SECURITY LTD=2089764.03
DEBT_RECOVERY,OPS CFC DEBT CONTRACTS,Department for Work and Pensions,192,25669833.14,9,G4S FACILITIES MANAGEMENT (UK) LTD=11976623.3; SERCO LTD=11818509.0; EQUANS SERVICES LTD=709577.0; ALLIED PUBLICITY SERVICES MANCHESTER LTD TA APS GROUP=708564.29; ROYAL MAIL GROUP PLC=245591.61
DEBT_RECOVERY,610300-Debtors < 1 Year - Deposits & Advances,Ministry of Justice,149,19098477.55,1,NEOPOST LTD=19098477.55
DEBT_RECOVERY,611000-Debtors <1 year - Other Debtors,Ministry of Justice,38,11420187.95,34,HOME OFFICE IT=7075000.0; DEPARTMENT FOR WORK & PENSIONS (DWP)=1073431.35; JONES LANG LASALLE LTD=487140.71; DELANCEY ARNOLD UK & DELANCEY ROLLS LTD=346266.11; ERNST & YOUNG LLP=328733.0
DEBT_RECOVERY,DIG DEBT MGT - MAINTENANCE DEL P,Department for Work and Pensions,251,11078787.78,7,CAPGEMINI UK PLC=6869149.66; ARUM SYSTEMS LTD=1736995.4; TECKNUOVO LTD=844398.0; BETTER GROUP LTD T/A BETTERGOV=695519.99; SCRUMCONNECT LTD=680728.5
DEBT_RECOVERY,MA ESF(D) OVERPAYMENT DEBTS TP,Department for Work and Pensions,1,9752337.0,1,NATIONAL OFFENDER MANAGEMENT SERVICE=9752337.0
DEBT_RECOVERY,FMCU POE Trust Account Debtor,Foreign and Commonwealth Office,4,7450000.0,1,ISS FACILITY SERVICES LTD FCO OP - POE=7450000.0
DEBT_RECOVERY,CHG FUTURE DEBT SOLUTION,Department for Work and Pensions,145,4748632.02,7,CAPGEMINI UK PLC=3811296.0; BETTER GROUP LTD T/A BETTERGOV=382450.0; TECKNUOVO LTD=285228.0; ALEXANDER MANN SOLUTIONS LTD-2WM=171376.38; BRAMBLE HUB LTD=90068.4
DEBT_RECOVERY,CMG OPS EXTERNAL CONTRACTS/SLA DEBT SERVICES,Department for Work and Pensions,56,4714394.77,4,EQUIFAX LTD=4404073.77; INDESSER=151096.0; HARPER MACLEOD LLP=92475.0; QUALCO UK LTD=66750.0
DEBT_RECOVERY,DTI Debtor - Balance Sheet,UK Trade and Investment,3,4340000.0,1,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS=4340000.0
DEBT_RECOVERY,OPS CFC DEBT ENFORCEMENT,Department for Work and Pensions,28,4104163.27,2,INDESSER=4104153.0; DA LANGUAGES LTD=10.27
